Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2017-09-22,2.12,2.12,2.12,2.12,2400,EUR,YDOM,spain
2017-09-27,2.14,2.14,2.14,2.14,700,EUR,YDOM,spain
2017-10-02,2.14,2.14,2.14,2.14,2500,EUR,YDOM,spain
2017-11-03,2.18,2.18,2.18,2.18,1000,EUR,YDOM,spain
2017-11-06,2.16,2.16,2.16,2.16,2350,EUR,YDOM,spain
2017-11-10,2.25,2.25,2.25,2.25,11540,EUR,YDOM,spain
2017-12-18,2.21,2.21,2.21,2.21,250,EUR,YDOM,spain
2018-03-06,2.2,2.2,2.2,2.2,2295,EUR,YDOM,spain
2018-05-14,2.2,2.2,2.2,2.2,4800,EUR,YDOM,spain
2018-05-15,2.24,2.24,2.24,2.24,2275,EUR,YDOM,spain
2018-05-16,2.2,2.2,2.2,2.2,5200,EUR,YDOM,spain
2018-05-29,2.14,2.14,2.14,2.14,2300,EUR,YDOM,spain
2018-06-11,2.14,2.14,2.14,2.14,1000,EUR,YDOM,spain
2018-06-14,2.14,2.14,2.14,2.14,2500,EUR,YDOM,spain
2018-06-18,2.14,2.14,2.14,2.14,1000,EUR,YDOM,spain
2018-06-19,2.14,2.14,2.14,2.14,1000,EUR,YDOM,spain
2018-06-20,2.14,2.14,2.14,2.14,5665,EUR,YDOM,spain
2018-06-21,2.2,2.2,2.2,2.2,9340,EUR,YDOM,spain
2018-06-22,2.3,2.4,2.3,2.4,4510,EUR,YDOM,spain
2018-06-26,2.4,2.4,2.4,2.4,500,EUR,YDOM,spain
2018-06-29,2.258,2.258,2.258,2.258,4251,EUR,YDOM,spain
2018-07-02,2.258,2.258,2.258,2.258,4129,EUR,YDOM,spain
2018-07-03,2.258,2.258,2.258,2.258,3188,EUR,YDOM,spain
2018-07-04,2.258,2.258,2.258,2.258,1594,EUR,YDOM,spain
2018-07-05,2.258,2.258,2.258,2.258,7439,EUR,YDOM,spain
2018-07-06,2.258,2.258,2.258,2.258,1063,EUR,YDOM,spain
2018-07-09,2.258,2.258,2.258,2.258,266,EUR,YDOM,spain
2018-08-20,2.2,2.2,2.2,2.2,2735,EUR,YDOM,spain
2018-09-07,2.2,2.2,2.2,2.2,3500,EUR,YDOM,spain
2018-10-05,2.2,2.2,2.2,2.2,1000,EUR,YDOM,spain
2018-10-29,2.126,2.126,2.126,2.126,2499,EUR,YDOM,spain
2018-11-01,2.126,2.126,2.126,2.126,4140,EUR,YDOM,spain
2018-11-07,2.145,2.145,2.145,2.145,3105,EUR,YDOM,spain
2018-11-12,2.145,2.145,2.145,2.145,1035,EUR,YDOM,spain
2018-11-15,2.164,2.164,2.164,2.164,880,EUR,YDOM,spain
2018-11-30,2.164,2.164,2.164,2.164,1433,EUR,YDOM,spain
2018-12-14,2.203,2.203,2.203,2.203,1863,EUR,YDOM,spain
2018-12-21,2.164,2.164,2.164,2.164,2311,EUR,YDOM,spain
2018-12-24,2.145,2.145,2.145,2.145,3208,EUR,YDOM,spain
2018-12-27,2.145,2.145,2.145,2.145,2334,EUR,YDOM,spain
2018-12-28,2.106,2.106,2.106,2.106,2375,EUR,YDOM,spain
2019-01-02,2.068,2.068,2.068,2.068,2422,EUR,YDOM,spain
2019-01-03,2.068,2.068,2.068,2.068,2070,EUR,YDOM,spain
2019-01-04,2.068,2.068,2.068,2.068,4538,EUR,YDOM,spain
2019-01-07,2.068,2.068,2.068,2.068,4835,EUR,YDOM,spain
2019-01-08,2.14,2.14,2.14,2.14,0,EUR,YDOM,spain
2019-01-18,2.106,2.106,2.106,2.106,2375,EUR,YDOM,spain
2019-01-31,2.184,2.184,2.184,2.184,5175,EUR,YDOM,spain
2019-03-20,2.184,2.184,2.145,2.145,2370,EUR,YDOM,spain
2019-03-21,2.22,2.22,2.22,2.22,725,EUR,YDOM,spain
2019-03-25,2.22,2.22,2.22,2.22,1000,EUR,YDOM,spain
2019-03-26,2.2,2.2,2.2,2.2,1000,EUR,YDOM,spain
2019-03-27,2.18,2.18,2.18,2.18,4400,EUR,YDOM,spain
2019-03-28,2.18,2.18,2.18,2.18,2290,EUR,YDOM,spain
2019-04-04,2.16,2.16,2.16,2.16,2315,EUR,YDOM,spain
2019-04-09,2.16,2.16,2.16,2.16,4275,EUR,YDOM,spain
2019-04-11,2.18,2.18,2.18,2.18,2315,EUR,YDOM,spain
2019-04-30,2.22,2.24,2.22,2.24,2740,EUR,YDOM,spain
2019-05-02,2.26,2.26,2.26,2.26,2215,EUR,YDOM,spain
2019-05-07,2.3,2.3,2.3,2.3,2175,EUR,YDOM,spain
2019-05-15,2.28,2.28,2.28,2.28,1500,EUR,YDOM,spain
2019-05-16,2.28,2.28,2.28,2.28,1500,EUR,YDOM,spain
2019-05-24,2.28,2.28,2.28,2.28,1500,EUR,YDOM,spain
2019-06-06,2.28,2.28,2.28,2.28,4386,EUR,YDOM,spain
2019-07-10,2.26,2.26,2.26,2.26,2215,EUR,YDOM,spain
2019-08-02,2.22,2.22,2.18,2.18,4510,EUR,YDOM,spain
