Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2013-11-29,1.98,2.17,1.98,2.17,6400,EUR,YENT,spain
2013-12-02,2.22,2.22,2.22,2.22,25000,EUR,YENT,spain
2013-12-03,2.22,2.22,2.22,2.22,6270,EUR,YENT,spain
2013-12-04,2.2,2.2,2.2,2.2,500,EUR,YENT,spain
2013-12-05,2.12,2.12,2.12,2.12,1000,EUR,YENT,spain
2013-12-06,2.12,2.12,2.12,2.12,0,EUR,YENT,spain
2013-12-09,2.13,2.13,2.13,2.13,1225,EUR,YENT,spain
2013-12-10,2.13,2.13,2.12,2.12,330,EUR,YENT,spain
2013-12-11,2.12,2.12,2.12,2.12,0,EUR,YENT,spain
2013-12-12,2.13,2.13,2.13,2.13,1000,EUR,YENT,spain
2013-12-13,2.13,2.13,2.13,2.13,0,EUR,YENT,spain
2013-12-16,2.12,2.12,2.12,2.12,880,EUR,YENT,spain
2013-12-17,2.15,2.15,2.15,2.15,9500,EUR,YENT,spain
2013-12-18,2.15,2.15,2.15,2.15,0,EUR,YENT,spain
2013-12-19,2.15,2.15,2.15,2.15,0,EUR,YENT,spain
2013-12-20,2.15,2.15,2.15,2.15,0,EUR,YENT,spain
2013-12-23,2.15,2.15,2.15,2.15,0,EUR,YENT,spain
2013-12-24,2.15,2.15,2.15,2.15,231,EUR,YENT,spain
2013-12-27,2.17,2.17,2.17,2.17,1200,EUR,YENT,spain
2013-12-30,2.17,2.17,2.17,2.17,0,EUR,YENT,spain
2013-12-31,2.17,2.17,2.17,2.17,0,EUR,YENT,spain
2014-01-02,2.17,2.17,2.17,2.17,0,EUR,YENT,spain
2014-01-03,2.17,2.17,2.17,2.17,0,EUR,YENT,spain
2014-01-06,0.0,0.0,0.0,2.17,0,EUR,YENT,spain
2014-01-07,2.07,2.07,2.07,2.07,1300,EUR,YENT,spain
2014-01-08,2.07,2.07,2.07,2.07,1500,EUR,YENT,spain
2014-01-09,2.0,2.0,1.95,1.95,6600,EUR,YENT,spain
2014-01-10,1.91,1.91,1.91,1.91,2407,EUR,YENT,spain
2014-01-13,1.9,1.9,1.9,1.9,593,EUR,YENT,spain
2014-01-14,1.86,1.86,1.86,1.86,3382,EUR,YENT,spain
2014-01-15,1.86,1.86,1.86,1.86,1000,EUR,YENT,spain
2014-01-16,1.86,1.86,1.86,1.86,1000,EUR,YENT,spain
2014-02-06,1.86,1.86,1.86,1.86,1180,EUR,YENT,spain
2014-02-07,1.86,1.86,1.86,1.86,250,EUR,YENT,spain
2014-02-10,1.86,1.86,1.86,1.86,675,EUR,YENT,spain
2014-02-11,1.91,1.91,1.91,1.86,150,EUR,YENT,spain
2014-02-13,1.95,1.95,1.95,1.95,1550,EUR,YENT,spain
2014-02-18,1.95,1.95,1.95,1.95,750,EUR,YENT,spain
2014-02-21,1.95,1.95,1.86,1.86,2126,EUR,YENT,spain
2014-03-03,1.86,1.86,1.86,1.86,1000,EUR,YENT,spain
2014-03-05,1.86,1.86,1.86,1.86,600,EUR,YENT,spain
2014-03-07,1.86,1.86,1.86,1.86,1500,EUR,YENT,spain
2014-03-10,1.86,1.86,1.86,1.86,4300,EUR,YENT,spain
2014-03-11,1.86,1.86,1.86,1.86,700,EUR,YENT,spain
2014-03-19,1.95,2.0,1.95,2.0,4566,EUR,YENT,spain
2014-03-20,2.1,2.2,2.1,2.2,22423,EUR,YENT,spain
2014-03-21,2.25,2.25,2.2,2.2,7928,EUR,YENT,spain
2014-03-24,2.31,2.42,2.31,2.42,8440,EUR,YENT,spain
2014-03-25,2.54,2.66,2.54,2.66,17900,EUR,YENT,spain
2014-03-26,2.79,2.79,2.79,2.79,23720,EUR,YENT,spain
2014-03-27,2.79,2.79,2.79,2.79,4353,EUR,YENT,spain
2014-03-28,2.79,2.79,2.79,2.79,2000,EUR,YENT,spain
2014-04-01,2.66,2.66,2.66,2.66,2050,EUR,YENT,spain
2014-04-02,2.66,2.66,2.66,2.66,500,EUR,YENT,spain
2014-04-03,2.66,2.66,2.66,2.66,2000,EUR,YENT,spain
2014-04-04,2.53,2.53,2.41,2.41,4100,EUR,YENT,spain
2014-04-07,2.29,2.29,2.2,2.2,9540,EUR,YENT,spain
2014-04-08,2.31,2.31,2.31,2.31,2200,EUR,YENT,spain
2014-04-11,2.2,2.2,2.2,2.2,2600,EUR,YENT,spain
2014-04-14,2.09,2.09,2.09,2.09,3050,EUR,YENT,spain
