Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2020-05-18,21.6,21.6,21.6,21.8,150,EUR,YEPS,spain
2020-05-19,21.6,21.6,21.6,21.6,300,EUR,YEPS,spain
2020-05-21,21.4,21.4,21.4,21.6,196,EUR,YEPS,spain
2020-05-22,21.4,21.4,21.4,21.6,196,EUR,YEPS,spain
2020-05-28,21.2,21.2,21.2,21.6,100,EUR,YEPS,spain
2020-06-16,20.6,20.6,20.6,21.6,190,EUR,YEPS,spain
2020-06-17,20.8,20.8,20.8,21.6,195,EUR,YEPS,spain
2020-06-19,20.6,20.6,20.6,21.6,198,EUR,YEPS,spain
2020-06-22,20.6,20.6,20.6,20.6,200,EUR,YEPS,spain
2020-07-01,19.6,19.6,19.6,19.6,200,EUR,YEPS,spain
2020-07-07,19.4,19.4,19.4,19.4,200,EUR,YEPS,spain
2020-07-08,19.0,19.0,19.0,19.4,192,EUR,YEPS,spain
2020-07-09,18.9,18.9,18.9,19.4,181,EUR,YEPS,spain
2020-09-23,19.2,19.2,19.2,19.4,100,EUR,YEPS,spain
2020-09-24,19.2,19.2,19.2,19.4,100,EUR,YEPS,spain
2020-09-25,19.0,19.0,19.0,19.4,100,EUR,YEPS,spain
2020-09-28,18.8,18.8,18.8,19.4,100,EUR,YEPS,spain
2020-09-29,18.9,18.9,18.9,19.4,100,EUR,YEPS,spain
2020-09-30,18.7,18.7,18.7,19.4,100,EUR,YEPS,spain
2020-10-01,18.6,18.6,18.6,19.4,100,EUR,YEPS,spain
2020-10-02,18.6,18.6,18.6,19.4,100,EUR,YEPS,spain
2020-10-05,18.6,18.6,18.6,19.4,100,EUR,YEPS,spain
2020-10-06,18.6,18.6,18.6,19.4,100,EUR,YEPS,spain
2020-10-07,18.6,18.6,18.6,19.4,100,EUR,YEPS,spain
2020-10-08,18.6,18.6,18.6,19.4,100,EUR,YEPS,spain
2020-10-09,18.6,18.6,18.6,19.4,100,EUR,YEPS,spain
2020-10-13,18.6,18.6,18.6,19.4,63,EUR,YEPS,spain
