Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2018-07-31,1.4,1.4,1.38,1.38,7196,EUR,YEXR,spain
2018-08-01,1.36,1.36,1.36,1.36,3677,EUR,YEXR,spain
2018-08-06,1.34,1.34,1.34,1.34,3732,EUR,YEXR,spain
2018-08-13,1.34,1.34,1.34,1.34,90,EUR,YEXR,spain
2018-09-18,1.3,1.3,1.3,1.3,3856,EUR,YEXR,spain
2018-12-28,1.27,1.27,1.27,1.27,3938,EUR,YEXR,spain
2018-12-31,1.25,1.25,1.25,1.25,4000,EUR,YEXR,spain
2019-01-02,1.22,1.22,1.22,1.22,4099,EUR,YEXR,spain
2019-01-14,1.17,1.17,1.17,1.17,4274,EUR,YEXR,spain
2019-01-16,1.17,1.17,1.17,1.17,4274,EUR,YEXR,spain
2019-01-21,1.16,1.16,1.16,1.16,6274,EUR,YEXR,spain
2019-01-25,1.14,1.14,1.14,1.14,4386,EUR,YEXR,spain
2019-01-29,1.12,1.12,1.12,1.12,4465,EUR,YEXR,spain
2019-01-30,1.1,1.1,1.1,1.1,4546,EUR,YEXR,spain
2019-02-01,1.1,1.1,1.1,1.1,4546,EUR,YEXR,spain
2019-02-05,1.1,1.1,1.1,1.1,4545,EUR,YEXR,spain
2019-02-08,1.1,1.1,1.1,1.1,4546,EUR,YEXR,spain
2019-02-11,1.1,1.1,1.1,1.1,4546,EUR,YEXR,spain
2019-02-14,1.08,1.08,1.08,1.08,4630,EUR,YEXR,spain
2019-07-22,1.13,1.13,1.13,1.13,10000,EUR,YEXR,spain
2019-07-24,1.13,1.13,1.13,1.13,8850,EUR,YEXR,spain
2019-08-05,1.12,1.12,1.12,1.12,4465,EUR,YEXR,spain
2019-08-06,1.12,1.12,1.12,1.12,535,EUR,YEXR,spain
2019-09-27,1.1,1.1,1.1,1.1,4000,EUR,YEXR,spain
2019-12-05,1.1,1.1,1.1,1.1,90,EUR,YEXR,spain
2020-01-21,1.12,1.12,1.12,1.12,2550,EUR,YEXR,spain
2020-01-23,1.12,1.12,1.12,1.12,200,EUR,YEXR,spain
2020-02-27,1.12,1.12,1.12,1.12,3000,EUR,YEXR,spain
2020-04-07,1.1,1.1,1.1,1.1,4546,EUR,YEXR,spain
2020-04-08,1.08,1.08,1.08,1.08,4500,EUR,YEXR,spain
2020-04-09,1.06,1.06,1.04,1.04,9500,EUR,YEXR,spain
2020-04-14,1.02,1.02,1.0,1.0,9900,EUR,YEXR,spain
2020-04-15,1.0,1.0,0.98,0.98,10100,EUR,YEXR,spain
2020-04-16,0.96,0.96,0.94,0.94,10414,EUR,YEXR,spain
2020-04-17,0.92,0.92,0.9,0.9,11800,EUR,YEXR,spain
2020-04-20,0.89,0.89,0.87,0.87,11470,EUR,YEXR,spain
2020-05-06,0.87,0.87,0.87,0.87,6000,EUR,YEXR,spain
2020-05-18,0.87,0.87,0.87,0.87,100,EUR,YEXR,spain
2020-06-05,0.86,0.86,0.86,0.86,5848,EUR,YEXR,spain
