Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2015-06-30,21.55,21.55,21.55,21.55,230,EUR,YFID,spain
2015-07-09,21.01,21.01,21.01,21.55,185,EUR,YFID,spain
2015-10-30,21.01,21.01,21.01,21.01,230,EUR,YFID,spain
2015-11-20,21.49,21.49,21.49,21.01,9,EUR,YFID,spain
2016-02-10,19.19,19.19,19.19,19.0,18,EUR,YFID,spain
2016-04-04,19.19,19.38,19.19,19.38,200,EUR,YFID,spain
2016-11-28,19.2,19.2,19.2,19.2,200,EUR,YFID,spain
2017-03-01,25.44,25.44,25.44,25.44,56617,EUR,YFID,spain
2017-03-07,25.44,25.44,25.44,25.44,6296,EUR,YFID,spain
2017-03-08,25.44,25.44,25.44,25.44,9964,EUR,YFID,spain
2017-07-03,25.62,25.62,25.62,25.37,196,EUR,YFID,spain
2017-08-14,25.62,25.62,25.62,25.37,15,EUR,YFID,spain
2017-12-15,25.23,25.23,25.23,25.3,19,EUR,YFID,spain
2018-04-06,25.6,25.6,25.6,25.4,3,EUR,YFID,spain
2018-04-23,14.5,14.5,14.5,14.38,50,EUR,YFID,spain
2018-04-24,14.5,14.5,14.5,14.38,23,EUR,YFID,spain
2018-06-15,14.5,14.5,14.5,14.5,345,EUR,YFID,spain
2018-09-14,14.2,14.2,14.2,14.3,23,EUR,YFID,spain
2018-10-18,14.2,14.2,14.2,14.3,3,EUR,YFID,spain
2019-02-22,14.4,14.4,14.4,14.4,350,EUR,YFID,spain
2019-03-19,14.3,14.3,14.3,14.3,350,EUR,YFID,spain
2019-09-03,14.4,14.4,14.4,14.4,348,EUR,YFID,spain
2019-12-16,14.3,14.3,14.3,14.4,50,EUR,YFID,spain
2020-03-12,14.3,14.3,14.3,14.4,196,EUR,YFID,spain
2020-08-12,14.1,14.1,14.1,14.0,1,EUR,YFID,spain
