Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2017-07-05,100.0,105.0,100.0,97.99,187,EUR,YGGC,spain
2017-07-06,100.0,100.0,100.0,97.99,102,EUR,YGGC,spain
2017-07-07,100.0,100.0,100.0,97.99,102,EUR,YGGC,spain
2017-07-13,96.04,96.04,96.04,97.99,64,EUR,YGGC,spain
2017-07-17,97.99,97.99,97.99,97.99,28,EUR,YGGC,spain
2017-07-20,95.0,95.0,95.0,97.99,100,EUR,YGGC,spain
2017-07-21,99.94,99.94,99.94,97.99,100,EUR,YGGC,spain
2017-07-25,99.94,99.94,99.94,97.99,51,EUR,YGGC,spain
2017-08-02,97.99,97.99,97.99,97.99,4,EUR,YGGC,spain
2017-08-10,99.94,99.94,99.94,97.99,20,EUR,YGGC,spain
2017-10-16,97.02,97.02,97.02,97.99,100,EUR,YGGC,spain
2017-11-13,98.96,98.96,98.96,97.99,2,EUR,YGGC,spain
2017-11-14,98.96,98.96,98.96,97.99,51,EUR,YGGC,spain
2017-11-15,98.96,103.9,98.96,103.9,204,EUR,YGGC,spain
2017-11-16,109.09,109.09,109.09,109.09,201,EUR,YGGC,spain
2018-05-17,111.0,111.0,111.0,110.0,46,EUR,YGGC,spain
2018-05-18,111.0,111.0,111.0,110.0,54,EUR,YGGC,spain
2018-06-18,111.0,111.0,111.0,110.0,2,EUR,YGGC,spain
2018-07-18,110.0,110.0,110.0,107.0,47,EUR,YGGC,spain
2018-07-19,110.0,110.0,110.0,107.0,53,EUR,YGGC,spain
2018-10-16,106.0,106.0,106.0,107.0,9,EUR,YGGC,spain
2018-10-18,106.0,106.0,106.0,107.0,48,EUR,YGGC,spain
2018-10-19,106.0,106.0,106.0,107.0,5,EUR,YGGC,spain
2018-12-06,106.0,106.0,106.0,107.0,100,EUR,YGGC,spain
2019-02-25,108.0,108.0,108.0,107.0,18,EUR,YGGC,spain
2019-05-10,112.0,112.0,112.0,107.0,48,EUR,YGGC,spain
2019-05-13,112.0,112.0,112.0,112.0,222,EUR,YGGC,spain
2019-05-24,111.0,111.0,111.0,111.0,296,EUR,YGGC,spain
2019-05-27,112.0,112.0,112.0,111.0,45,EUR,YGGC,spain
2019-05-28,112.0,112.0,112.0,111.0,45,EUR,YGGC,spain
2019-05-29,113.0,113.0,113.0,111.0,45,EUR,YGGC,spain
2019-05-30,116.0,116.0,116.0,116.0,260,EUR,YGGC,spain
2019-05-31,117.0,117.0,117.0,116.0,43,EUR,YGGC,spain
2019-06-03,119.0,119.0,119.0,116.0,43,EUR,YGGC,spain
2019-06-04,118.0,118.0,118.0,116.0,43,EUR,YGGC,spain
2019-06-05,120.0,120.0,120.0,116.0,32,EUR,YGGC,spain
2019-06-13,121.0,121.0,121.0,121.0,250,EUR,YGGC,spain
2019-06-25,126.0,126.0,126.0,126.0,275,EUR,YGGC,spain
2019-07-01,127.0,127.0,127.0,126.0,41,EUR,YGGC,spain
2019-07-15,127.0,127.0,127.0,126.0,1,EUR,YGGC,spain
2019-07-16,131.0,131.0,131.0,131.0,292,EUR,YGGC,spain
2019-07-17,130.0,130.0,130.0,124.0,101,EUR,YGGC,spain
2019-07-18,129.0,129.0,129.0,124.0,41,EUR,YGGC,spain
2019-07-19,123.0,123.0,122.0,122.0,222,EUR,YGGC,spain
2019-07-22,121.0,121.0,121.0,122.0,10,EUR,YGGC,spain
2019-07-29,126.0,126.0,126.0,126.0,250,EUR,YGGC,spain
2019-08-01,132.0,132.0,132.0,132.0,235,EUR,YGGC,spain
2019-08-21,133.0,133.0,133.0,132.0,40,EUR,YGGC,spain
2019-08-22,134.0,136.0,134.0,132.0,40,EUR,YGGC,spain
2019-09-23,132.0,132.0,131.0,132.0,40,EUR,YGGC,spain
2019-11-08,138.0,138.0,138.0,138.0,230,EUR,YGGC,spain
2019-11-18,144.0,144.0,144.0,138.0,38,EUR,YGGC,spain
2019-11-19,144.0,144.0,144.0,138.0,38,EUR,YGGC,spain
2019-12-24,144.0,144.0,144.0,144.0,210,EUR,YGGC,spain
2020-01-03,145.0,145.0,145.0,144.0,10,EUR,YGGC,spain
2020-05-13,144.0,144.0,144.0,144.0,2,EUR,YGGC,spain
2020-07-24,141.0,141.0,141.0,140.0,32,EUR,YGGC,spain
