Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2017-04-19,42.87,42.87,42.87,42.44,100,EUR,YGMP,spain
2017-05-19,42.44,42.44,42.44,42.44,1600,EUR,YGMP,spain
2017-05-29,42.44,42.44,42.44,42.44,600,EUR,YGMP,spain
2017-05-30,42.44,42.44,42.44,42.44,1200,EUR,YGMP,spain
2017-06-08,42.44,42.44,42.44,42.44,1150,EUR,YGMP,spain
2017-06-16,42.44,42.44,42.44,42.44,600,EUR,YGMP,spain
2017-06-19,42.44,42.44,42.44,42.44,600,EUR,YGMP,spain
2017-06-20,42.44,42.44,42.44,42.44,600,EUR,YGMP,spain
2017-06-21,42.44,42.44,42.44,42.44,580,EUR,YGMP,spain
2017-06-29,42.86,42.86,42.44,42.44,525,EUR,YGMP,spain
2017-08-16,42.86,42.86,42.86,42.44,117,EUR,YGMP,spain
2017-11-13,43.28,43.28,43.28,42.44,20,EUR,YGMP,spain
2017-11-28,42.44,42.44,42.44,42.44,20,EUR,YGMP,spain
2017-12-05,43.3,43.3,43.3,42.44,116,EUR,YGMP,spain
2017-12-06,43.3,43.3,43.3,43.3,206,EUR,YGMP,spain
2017-12-15,44.11,44.11,44.11,43.3,114,EUR,YGMP,spain
2017-12-18,44.11,44.11,44.11,44.11,204,EUR,YGMP,spain
2018-01-03,45.0,45.0,45.0,45.0,202,EUR,YGMP,spain
2018-01-09,45.8,45.8,45.8,45.8,200,EUR,YGMP,spain
2018-01-15,46.6,46.6,46.6,45.8,108,EUR,YGMP,spain
2018-01-17,46.8,46.8,46.8,45.8,107,EUR,YGMP,spain
2018-02-19,48.0,48.0,48.0,48.0,210,EUR,YGMP,spain
2018-03-22,50.0,50.0,50.0,48.0,100,EUR,YGMP,spain
2018-03-23,50.0,50.0,50.0,48.0,100,EUR,YGMP,spain
2018-03-26,50.0,50.0,50.0,48.0,100,EUR,YGMP,spain
2018-03-27,50.0,50.0,50.0,48.0,100,EUR,YGMP,spain
2018-03-28,50.0,50.0,50.0,50.0,200,EUR,YGMP,spain
