Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2017-08-01,14.51,14.51,14.51,14.51,4457,EUR,YGOP,spain
2017-08-09,14.58,14.58,14.58,14.58,2713,EUR,YGOP,spain
2017-09-06,14.51,14.51,14.51,14.51,7446,EUR,YGOP,spain
2017-09-12,14.66,14.66,14.66,14.66,2040,EUR,YGOP,spain
2017-10-02,14.51,14.51,14.51,14.51,4401,EUR,YGOP,spain
2017-10-10,14.51,14.51,14.51,14.51,336,EUR,YGOP,spain
2017-11-24,14.66,14.66,14.51,14.51,10845,EUR,YGOP,spain
2017-12-11,14.55,14.55,14.55,14.55,357,EUR,YGOP,spain
2017-12-14,14.7,14.7,14.7,14.7,335,EUR,YGOP,spain
2017-12-19,14.84,14.84,14.84,14.84,2724,EUR,YGOP,spain
2017-12-27,14.72,14.72,14.72,14.72,194357,EUR,YGOP,spain
2017-12-28,14.72,14.72,14.72,14.72,48636,EUR,YGOP,spain
2017-12-29,14.72,14.72,14.72,14.72,1101,EUR,YGOP,spain
2018-01-09,14.6,14.6,14.6,14.6,1356,EUR,YGOP,spain
2018-01-10,14.5,14.5,14.5,14.5,1358,EUR,YGOP,spain
2018-01-19,14.5,14.5,14.5,14.5,1020,EUR,YGOP,spain
2018-01-29,14.6,14.6,14.6,14.6,340,EUR,YGOP,spain
2018-02-01,14.5,14.5,14.5,14.5,1020,EUR,YGOP,spain
2018-02-12,14.5,14.5,14.5,14.5,5095,EUR,YGOP,spain
2018-02-13,14.6,14.6,14.6,14.6,204,EUR,YGOP,spain
2018-02-28,14.6,14.6,14.6,14.6,6754,EUR,YGOP,spain
2018-03-06,14.6,14.6,14.6,14.6,10200,EUR,YGOP,spain
2018-03-07,14.6,14.6,14.6,14.6,16956,EUR,YGOP,spain
2018-03-13,14.6,14.6,14.6,14.6,1346,EUR,YGOP,spain
2018-03-14,14.6,14.6,14.6,14.6,204,EUR,YGOP,spain
2018-03-16,14.6,14.6,14.6,14.6,2699,EUR,YGOP,spain
2018-03-20,14.6,14.6,14.6,14.6,6754,EUR,YGOP,spain
2018-03-21,14.6,14.6,14.6,14.6,2093,EUR,YGOP,spain
2018-03-22,14.7,14.7,14.7,14.7,326,EUR,YGOP,spain
2018-03-28,14.6,14.6,14.6,14.6,675,EUR,YGOP,spain
2018-04-03,14.6,14.6,14.6,14.6,10200,EUR,YGOP,spain
2018-04-05,14.5,14.5,14.5,14.5,887,EUR,YGOP,spain
2018-04-06,14.6,14.6,14.6,14.6,3570,EUR,YGOP,spain
2018-04-10,14.6,14.6,14.6,14.6,4382,EUR,YGOP,spain
2018-04-12,14.6,14.6,14.6,14.6,255,EUR,YGOP,spain
2018-04-16,14.6,14.6,14.6,14.6,6630,EUR,YGOP,spain
2018-04-18,14.79,14.79,14.79,14.79,6754,EUR,YGOP,spain
2018-04-23,14.99,14.99,14.99,14.99,1665,EUR,YGOP,spain
2018-04-26,14.6,14.6,14.6,14.6,7140,EUR,YGOP,spain
2018-04-27,14.6,14.6,14.6,14.6,204,EUR,YGOP,spain
2018-04-30,14.6,14.6,14.6,14.6,3825,EUR,YGOP,spain
2018-05-04,14.6,14.6,14.6,14.6,10445,EUR,YGOP,spain
2018-05-08,14.6,14.6,14.6,14.6,408,EUR,YGOP,spain
2018-05-09,14.79,14.79,14.79,14.79,1351,EUR,YGOP,spain
2018-05-10,14.99,14.99,14.99,14.99,132606,EUR,YGOP,spain
2018-05-16,14.99,14.99,14.99,14.99,2038,EUR,YGOP,spain
2018-05-31,14.99,14.99,14.99,14.99,51002,EUR,YGOP,spain
2018-06-04,14.99,14.99,14.99,14.99,918,EUR,YGOP,spain
2018-06-05,14.99,14.99,14.99,14.99,11256,EUR,YGOP,spain
2018-06-06,14.99,14.99,14.99,14.99,328,EUR,YGOP,spain
2018-06-11,14.99,14.99,14.99,14.99,989,EUR,YGOP,spain
2018-06-13,14.99,14.99,14.99,14.99,6754,EUR,YGOP,spain
2018-06-22,14.99,14.99,14.99,14.99,657,EUR,YGOP,spain
2018-06-28,14.99,14.99,14.99,14.99,2040,EUR,YGOP,spain
2018-07-03,15.2,15.2,15.2,15.2,980,EUR,YGOP,spain
2018-07-09,15.29,15.29,15.29,15.29,39486,EUR,YGOP,spain
2018-07-16,15.29,15.29,15.29,15.29,663,EUR,YGOP,spain
2018-07-26,15.29,15.29,15.29,15.29,3259,EUR,YGOP,spain
2018-08-07,15.39,15.39,15.39,15.39,326,EUR,YGOP,spain
2018-08-08,15.29,15.29,15.29,15.29,652,EUR,YGOP,spain
2018-08-10,15.29,15.29,15.29,15.29,6538,EUR,YGOP,spain
2018-09-06,15.29,15.29,15.29,15.29,1178,EUR,YGOP,spain
2018-09-21,15.29,15.29,15.29,15.29,143,EUR,YGOP,spain
2018-09-26,15.29,15.29,15.29,15.29,5169,EUR,YGOP,spain
2018-10-03,15.29,15.29,15.29,15.29,652,EUR,YGOP,spain
2018-10-09,15.29,15.29,15.29,15.29,178182,EUR,YGOP,spain
2018-10-10,15.29,15.29,15.29,15.29,49039,EUR,YGOP,spain
2018-10-11,15.39,15.39,15.29,15.29,13120,EUR,YGOP,spain
2018-10-12,15.29,15.29,15.29,15.29,3270,EUR,YGOP,spain
2018-10-15,15.29,15.29,15.29,15.29,8829,EUR,YGOP,spain
2018-10-16,15.29,15.39,15.29,15.39,35321,EUR,YGOP,spain
2018-10-17,15.29,15.29,15.29,15.29,13080,EUR,YGOP,spain
2018-10-18,15.29,15.29,15.29,15.29,9155,EUR,YGOP,spain
2018-10-19,15.29,15.29,15.29,15.29,1635,EUR,YGOP,spain
2018-10-23,15.29,15.29,15.29,15.29,9810,EUR,YGOP,spain
2018-10-24,15.29,15.29,15.29,15.29,57871,EUR,YGOP,spain
2018-10-29,15.29,15.29,15.29,15.29,1635,EUR,YGOP,spain
2018-11-07,15.29,15.29,15.29,15.29,68603,EUR,YGOP,spain
