Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2018-01-02,1.06,1.1,1.06,1.1,10000,EUR,YMRE,spain
2018-01-03,1.15,1.15,1.15,1.15,6500,EUR,YMRE,spain
2018-01-04,1.17,1.17,1.17,1.17,4760,EUR,YMRE,spain
2018-01-08,1.17,1.17,1.17,1.17,400,EUR,YMRE,spain
2018-01-11,1.17,1.17,1.17,1.17,256,EUR,YMRE,spain
2018-01-18,1.17,1.17,1.17,1.17,3000,EUR,YMRE,spain
2018-01-19,1.15,1.15,1.15,1.15,5000,EUR,YMRE,spain
2018-01-22,1.13,1.13,1.13,1.13,1260,EUR,YMRE,spain
2018-03-23,1.11,1.11,1.11,1.11,900,EUR,YMRE,spain
2018-05-07,1.11,1.11,1.11,1.11,4505,EUR,YMRE,spain
2018-05-11,1.09,1.09,1.09,1.09,3495,EUR,YMRE,spain
2019-03-12,1.09,1.09,1.09,1.09,3000,EUR,YMRE,spain
2019-03-14,1.08,1.08,1.08,1.08,3000,EUR,YMRE,spain
2019-03-18,1.09,1.09,1.09,1.09,1800,EUR,YMRE,spain
2019-03-21,1.07,1.07,1.07,1.07,3000,EUR,YMRE,spain
2019-03-25,1.07,1.07,1.07,1.07,3000,EUR,YMRE,spain
2019-04-03,1.09,1.09,1.09,1.09,449,EUR,YMRE,spain
2019-04-08,1.09,1.09,1.09,1.09,3600,EUR,YMRE,spain
2019-04-09,1.09,1.09,1.09,1.09,3400,EUR,YMRE,spain
2019-06-04,1.1,1.1,1.1,1.1,1002,EUR,YMRE,spain
2019-06-21,1.1,1.1,1.1,1.1,909,EUR,YMRE,spain
2019-07-29,1.1,1.1,1.1,1.1,2331,EUR,YMRE,spain
2019-08-30,1.1,1.1,1.1,1.1,100,EUR,YMRE,spain
2019-10-14,1.09,1.09,1.09,1.09,6453,EUR,YMRE,spain
2019-10-15,1.1,1.1,1.1,1.1,2500,EUR,YMRE,spain
2019-11-29,1.1,1.1,1.1,1.1,1500,EUR,YMRE,spain
2019-12-13,1.1,1.1,1.1,1.1,2550,EUR,YMRE,spain
2019-12-23,1.1,1.1,1.1,1.1,3545,EUR,YMRE,spain
2020-01-10,1.1,1.1,1.1,1.1,11444,EUR,YMRE,spain
2020-01-13,1.1,1.1,1.1,1.1,4550,EUR,YMRE,spain
2020-01-14,1.12,1.12,1.12,1.12,500,EUR,YMRE,spain
2020-02-05,1.12,1.12,1.1,1.1,17100,EUR,YMRE,spain
2020-02-12,1.12,1.12,1.12,1.12,4465,EUR,YMRE,spain
2020-02-14,1.14,1.14,1.14,1.14,4000,EUR,YMRE,spain
2020-02-18,1.16,1.16,1.16,1.16,4000,EUR,YMRE,spain
2020-02-21,1.16,1.16,1.16,1.16,4000,EUR,YMRE,spain
2020-02-26,1.18,1.18,1.18,1.18,8100,EUR,YMRE,spain
2020-03-10,1.2,1.2,1.2,1.2,1002,EUR,YMRE,spain
2020-03-13,1.22,1.22,1.22,1.22,3300,EUR,YMRE,spain
2020-03-17,1.2,1.2,1.2,1.2,8334,EUR,YMRE,spain
2020-03-19,1.18,1.18,1.18,1.18,4200,EUR,YMRE,spain
2020-03-20,1.18,1.18,1.18,1.18,4238,EUR,YMRE,spain
2020-03-23,1.16,1.16,1.14,1.14,6722,EUR,YMRE,spain
2020-04-14,1.16,1.16,1.16,1.16,2631,EUR,YMRE,spain
2020-05-19,1.14,1.14,1.14,1.14,340,EUR,YMRE,spain
2020-06-23,1.16,1.18,1.16,1.18,8560,EUR,YMRE,spain
2020-06-24,1.2,1.2,1.2,1.2,500,EUR,YMRE,spain
2020-06-25,1.18,1.18,1.18,1.18,415,EUR,YMRE,spain
2020-06-26,1.18,1.18,1.18,1.18,8480,EUR,YMRE,spain
2020-06-29,1.18,1.18,1.18,1.18,580,EUR,YMRE,spain
2020-09-17,1.2,1.2,1.2,1.2,3300,EUR,YMRE,spain
2020-09-18,1.2,1.21,1.2,1.21,8440,EUR,YMRE,spain
2020-10-28,1.19,1.19,1.19,1.19,4250,EUR,YMRE,spain
2020-10-29,1.18,1.18,1.18,1.18,4190,EUR,YMRE,spain
2020-12-04,1.18,1.18,1.18,1.18,4250,EUR,YMRE,spain
2020-12-07,1.18,1.18,1.18,1.18,8500,EUR,YMRE,spain
2020-12-23,1.18,1.18,1.18,1.18,4000,EUR,YMRE,spain
2021-01-12,1.18,1.2,1.18,1.2,8165,EUR,YMRE,spain
2021-01-13,1.2,1.2,1.2,1.2,1840,EUR,YMRE,spain
2021-02-02,1.2,1.2,1.2,1.2,2000,EUR,YMRE,spain
