Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2018-07-17,1.84,1.84,1.84,1.84,11500,EUR,YNUM,spain
2018-07-18,1.84,1.84,1.84,1.84,6000,EUR,YNUM,spain
2018-12-04,1.84,1.84,1.84,1.84,273924,EUR,YNUM,spain
2018-12-05,1.84,1.84,1.84,1.84,111613,EUR,YNUM,spain
2019-02-22,1.85,1.85,1.85,1.85,2703,EUR,YNUM,spain
2019-04-03,1.84,1.84,1.84,1.84,2703,EUR,YNUM,spain
2019-06-26,1.83,1.83,1.83,1.83,2619,EUR,YNUM,spain
2019-11-22,1.8,1.8,1.8,1.8,1000,EUR,YNUM,spain
2019-12-03,1.8,1.8,1.8,1.8,75975,EUR,YNUM,spain
2019-12-11,1.81,1.81,1.81,1.81,2800,EUR,YNUM,spain
2019-12-24,1.82,1.82,1.82,1.82,2800,EUR,YNUM,spain
2020-01-14,1.83,1.83,1.83,1.83,2000,EUR,YNUM,spain
2020-01-15,1.84,1.84,1.84,1.84,2000,EUR,YNUM,spain
2020-01-17,1.85,1.88,1.85,1.88,4750,EUR,YNUM,spain
2020-01-20,1.91,1.94,1.91,1.94,4000,EUR,YNUM,spain
2020-01-22,1.97,2.0,1.97,2.0,3150,EUR,YNUM,spain
2020-06-05,2.02,2.06,2.02,2.06,5000,EUR,YNUM,spain
2020-07-06,2.08,2.08,2.08,2.08,200,EUR,YNUM,spain
2020-07-08,2.1,2.1,2.1,2.1,250,EUR,YNUM,spain
2020-08-13,2.06,2.06,2.06,2.06,2500,EUR,YNUM,spain
2020-08-14,2.1,2.1,2.1,2.1,1420,EUR,YNUM,spain
2020-08-18,2.08,2.08,2.08,2.1,70,EUR,YNUM,spain
2020-08-20,2.08,2.08,2.08,2.08,2405,EUR,YNUM,spain
2020-08-21,2.06,2.06,2.06,2.06,1445,EUR,YNUM,spain
2020-09-18,2.08,2.08,2.08,2.08,2404,EUR,YNUM,spain
2020-10-01,2.1,2.1,2.1,2.08,100,EUR,YNUM,spain
2020-10-09,2.06,2.06,2.06,2.06,2450,EUR,YNUM,spain
2020-11-03,2.04,2.04,2.04,2.04,2455,EUR,YNUM,spain
2020-11-11,1.99,1.99,1.99,1.99,5000,EUR,YNUM,spain
2020-11-18,1.98,1.98,1.98,1.98,2550,EUR,YNUM,spain
2020-11-26,1.97,1.97,1.96,1.96,5000,EUR,YNUM,spain
2020-11-27,1.95,1.95,1.95,1.95,2600,EUR,YNUM,spain
2020-12-01,1.94,1.94,1.94,1.94,2600,EUR,YNUM,spain
2020-12-02,1.93,1.93,1.93,1.93,2500,EUR,YNUM,spain
2020-12-03,1.92,1.92,1.91,1.91,5000,EUR,YNUM,spain
2020-12-04,1.9,1.9,1.9,1.9,2700,EUR,YNUM,spain
2020-12-07,1.89,1.89,1.89,1.89,1750,EUR,YNUM,spain
2021-01-06,1.88,1.88,1.88,1.88,2700,EUR,YNUM,spain
2021-01-08,1.85,1.85,1.85,1.85,2650,EUR,YNUM,spain
