Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2017-02-23,1.02,1.02,1.02,1.02,4903,EUR,YORE,spain
2017-02-24,1.03,1.03,1.03,1.03,4856,EUR,YORE,spain
2017-02-27,1.04,1.04,1.04,1.04,1000,EUR,YORE,spain
2017-02-28,1.05,1.05,1.05,1.05,1000,EUR,YORE,spain
2017-03-01,1.06,1.07,1.06,1.07,16674,EUR,YORE,spain
2017-03-02,1.09,1.1,1.09,1.1,9178,EUR,YORE,spain
2017-03-03,1.11,1.15,1.11,1.15,8972,EUR,YORE,spain
2017-03-06,1.16,1.2,1.16,1.2,8587,EUR,YORE,spain
2017-03-07,1.2,1.2,1.19,1.19,17320,EUR,YORE,spain
2017-03-08,1.17,1.17,1.17,1.17,10654,EUR,YORE,spain
2017-03-10,1.12,1.12,1.1,1.1,10896,EUR,YORE,spain
2017-03-13,1.09,1.09,1.08,1.08,8303,EUR,YORE,spain
2017-03-15,1.05,1.05,1.05,1.05,7674,EUR,YORE,spain
2017-03-16,1.05,1.05,1.05,1.05,14500,EUR,YORE,spain
2017-03-22,1.04,1.04,1.04,1.04,4809,EUR,YORE,spain
2017-03-29,1.03,1.03,1.02,1.02,9267,EUR,YORE,spain
2017-03-31,1.03,1.03,1.03,1.03,250000,EUR,YORE,spain
2017-04-18,1.03,1.03,1.03,1.03,1000,EUR,YORE,spain
2017-05-11,1.02,1.02,1.02,1.02,500,EUR,YORE,spain
2017-05-19,1.01,1.01,1.01,1.01,4952,EUR,YORE,spain
2017-05-23,1.02,1.02,1.02,1.02,7900,EUR,YORE,spain
2017-05-30,1.03,1.04,1.03,1.03,4952,EUR,YORE,spain
2017-06-12,1.02,1.02,1.02,1.02,4900,EUR,YORE,spain
2017-07-03,1.03,1.03,1.03,1.03,4856,EUR,YORE,spain
2017-07-10,1.04,1.04,1.04,1.04,2135,EUR,YORE,spain
2017-08-16,1.03,1.03,1.03,1.03,7760,EUR,YORE,spain
2017-08-21,1.03,1.03,1.03,1.03,2240,EUR,YORE,spain
2017-11-06,1.02,1.02,1.02,1.02,2155,EUR,YORE,spain
2017-11-29,1.01,1.01,1.01,1.01,4952,EUR,YORE,spain
2017-12-01,1.0,1.0,1.0,1.0,2904,EUR,YORE,spain
2017-12-12,1.0,1.0,1.0,1.0,7000,EUR,YORE,spain
2017-12-14,1.0,1.0,1.0,1.0,3000,EUR,YORE,spain
2017-12-18,1.01,1.01,1.01,1.01,15048,EUR,YORE,spain
2017-12-19,1.01,1.01,1.01,1.01,4952,EUR,YORE,spain
2017-12-27,1.0,1.01,1.0,1.01,6702,EUR,YORE,spain
2018-01-18,1.02,1.02,1.02,1.02,4903,EUR,YORE,spain
2018-02-14,1.01,1.01,1.01,1.01,1000,EUR,YORE,spain
2018-02-15,1.02,1.02,1.02,1.02,4903,EUR,YORE,spain
2018-02-20,1.03,1.03,1.03,1.03,4850,EUR,YORE,spain
2018-02-23,1.04,1.04,1.04,1.04,4800,EUR,YORE,spain
2018-04-05,1.03,1.03,1.03,1.03,3000,EUR,YORE,spain
2018-04-09,1.01,1.02,1.01,1.02,8894,EUR,YORE,spain
2018-04-20,1.02,1.02,1.02,1.02,10000,EUR,YORE,spain
2018-05-17,1.02,1.02,1.02,1.02,10000,EUR,YORE,spain
2018-05-21,1.03,1.03,1.03,1.03,24856,EUR,YORE,spain
2018-05-22,1.04,1.04,1.04,1.04,4809,EUR,YORE,spain
2018-05-30,1.03,1.03,1.03,1.03,4674,EUR,YORE,spain
2018-06-20,1.02,1.02,1.02,1.02,4900,EUR,YORE,spain
2018-06-22,1.03,1.03,1.02,1.02,17901,EUR,YORE,spain
2018-06-25,1.01,1.02,1.01,1.02,29803,EUR,YORE,spain
2018-06-26,1.01,1.01,1.0,1.0,19953,EUR,YORE,spain
2018-06-27,0.99,0.99,0.99,0.99,5047,EUR,YORE,spain
2018-06-28,1.0,1.0,1.0,1.0,4000,EUR,YORE,spain
2018-07-02,1.0,1.0,1.0,1.0,10000,EUR,YORE,spain
2018-07-17,0.98,0.98,0.97,0.97,40000,EUR,YORE,spain
2018-07-19,0.97,0.97,0.97,0.97,33000,EUR,YORE,spain
2018-07-23,0.98,0.98,0.98,0.98,2500,EUR,YORE,spain
2018-08-21,0.98,0.98,0.98,0.98,4191,EUR,YORE,spain
2018-09-05,0.98,0.98,0.98,0.98,760,EUR,YORE,spain
2018-10-09,0.99,0.99,0.99,0.99,5052,EUR,YORE,spain
2018-11-20,1.0,1.0,1.0,1.0,5000,EUR,YORE,spain
2018-11-22,1.01,1.01,1.01,1.01,1500,EUR,YORE,spain
2018-11-27,1.02,1.02,1.02,1.02,1900,EUR,YORE,spain
2018-12-13,1.03,1.03,1.03,1.03,1600,EUR,YORE,spain
2018-12-21,1.02,1.02,1.02,1.02,4903,EUR,YORE,spain
