Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2017-05-17,10.1,10.1,10.1,10.1,1000,EUR,YOVA,spain
2017-06-28,10.3,10.3,10.3,10.3,500,EUR,YOVA,spain
2017-10-04,10.3,10.3,10.3,10.3,500,EUR,YOVA,spain
2017-10-05,10.1,10.1,10.1,10.1,500,EUR,YOVA,spain
2017-10-06,10.1,10.1,10.1,10.1,400,EUR,YOVA,spain
2018-01-08,10.1,10.1,10.1,10.1,1020,EUR,YOVA,spain
2018-01-11,10.2,10.4,10.2,10.4,1000,EUR,YOVA,spain
2018-01-12,10.6,10.7,10.6,10.7,1000,EUR,YOVA,spain
2018-01-15,10.9,10.9,10.9,10.9,500,EUR,YOVA,spain
2018-01-16,11.1,11.1,11.1,11.1,500,EUR,YOVA,spain
2018-04-13,11.3,11.3,11.3,11.3,430,EUR,YOVA,spain
2018-04-16,11.8,11.8,11.8,11.8,500,EUR,YOVA,spain
2018-04-17,12.0,12.0,12.0,12.0,420,EUR,YOVA,spain
2018-04-18,12.2,12.2,12.2,12.0,80,EUR,YOVA,spain
2018-08-10,12.2,12.2,12.2,12.2,410,EUR,YOVA,spain
2019-04-02,12.4,12.4,12.4,12.4,420,EUR,YOVA,spain
2019-04-03,12.5,12.5,12.5,12.5,400,EUR,YOVA,spain
2019-05-23,12.5,12.5,12.5,12.5,400,EUR,YOVA,spain
2019-05-24,12.5,12.6,12.5,12.6,800,EUR,YOVA,spain
2019-08-02,12.4,12.4,12.4,12.4,200,EUR,YOVA,spain
2019-10-08,12.4,12.4,12.4,12.4,405,EUR,YOVA,spain
2019-10-17,12.3,12.3,12.3,12.3,410,EUR,YOVA,spain
2020-01-24,12.2,12.2,12.2,12.2,400,EUR,YOVA,spain
2020-02-17,12.2,12.2,12.2,12.2,600,EUR,YOVA,spain
2020-03-17,12.1,12.1,12.1,12.1,830,EUR,YOVA,spain
2020-03-19,12.0,12.0,12.0,12.0,480,EUR,YOVA,spain
2020-04-16,12.0,12.0,11.8,11.8,842,EUR,YOVA,spain
2020-04-17,11.7,11.7,11.7,11.7,428,EUR,YOVA,spain
2020-04-20,11.5,11.5,11.5,11.5,432,EUR,YOVA,spain
2020-04-21,11.4,11.4,11.4,11.5,83,EUR,YOVA,spain
