Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2016-04-05,1.52,1.52,1.52,1.52,4000,EUR,YPR3,spain
2016-04-21,1.5,1.5,1.5,1.5,3450,EUR,YPR3,spain
2016-04-22,1.5,1.5,1.5,1.5,6190,EUR,YPR3,spain
2016-11-28,1.5,1.5,1.5,1.5,4000,EUR,YPR3,spain
2016-11-29,1.52,1.55,1.52,1.55,6650,EUR,YPR3,spain
2016-11-30,1.57,1.57,1.57,1.57,2864,EUR,YPR3,spain
2017-03-01,1.57,1.57,1.57,1.57,3125,EUR,YPR3,spain
2017-04-21,1.6,1.6,1.6,1.6,6250,EUR,YPR3,spain
2017-04-26,1.55,1.55,1.55,1.55,8315,EUR,YPR3,spain
2017-05-12,1.56,1.56,1.56,1.56,2940,EUR,YPR3,spain
2017-05-16,1.58,1.58,1.58,1.58,2600,EUR,YPR3,spain
2017-06-06,1.6,1.6,1.6,1.58,100,EUR,YPR3,spain
2017-06-09,1.57,1.57,1.57,1.57,1325,EUR,YPR3,spain
2017-06-26,1.6,1.6,1.6,1.57,100,EUR,YPR3,spain
2017-06-30,1.6,1.6,1.6,1.6,2812,EUR,YPR3,spain
2017-08-16,1.6,1.6,1.6,1.6,200,EUR,YPR3,spain
2018-01-15,1.63,1.63,1.63,1.63,2500,EUR,YPR3,spain
2018-03-29,1.66,1.66,1.66,1.66,3000,EUR,YPR3,spain
2018-04-06,1.69,1.72,1.69,1.72,5400,EUR,YPR3,spain
2018-04-09,1.75,1.75,1.75,1.75,2858,EUR,YPR3,spain
2018-04-13,1.75,1.75,1.75,1.75,2858,EUR,YPR3,spain
2018-04-27,1.75,1.75,1.75,1.75,2,EUR,YPR3,spain
2018-05-28,1.75,1.75,1.75,1.75,2325,EUR,YPR3,spain
2018-06-11,1.48,1.48,1.48,1.48,3050,EUR,YPR3,spain
2018-10-03,1.36,1.36,1.36,1.36,2206,EUR,YPR3,spain
2018-12-04,1.17,1.17,1.17,1.17,2000,EUR,YPR3,spain
2018-12-05,1.17,1.17,1.17,1.17,3600,EUR,YPR3,spain
2018-12-24,0.88,0.88,0.88,0.88,5685,EUR,YPR3,spain
2018-12-27,0.9,0.9,0.9,0.9,5590,EUR,YPR3,spain
2018-12-28,0.91,0.91,0.91,0.91,5495,EUR,YPR3,spain
2019-01-07,0.93,0.93,0.93,0.93,5401,EUR,YPR3,spain
2019-05-03,1.35,1.35,1.35,1.35,500,EUR,YPR3,spain
2019-05-06,1.35,1.35,1.33,1.33,3305,EUR,YPR3,spain
2019-05-16,1.25,1.25,1.25,1.25,3760,EUR,YPR3,spain
2019-05-17,1.23,1.23,1.23,1.23,250,EUR,YPR3,spain
2019-07-03,0.97,0.97,0.97,0.97,5000,EUR,YPR3,spain
2019-07-10,0.98,0.98,0.98,0.98,5155,EUR,YPR3,spain
2019-07-12,0.99,0.99,0.99,0.99,1500,EUR,YPR3,spain
2019-07-17,0.99,0.99,0.99,0.99,4845,EUR,YPR3,spain
2019-07-22,0.99,0.99,0.99,0.99,3500,EUR,YPR3,spain
2019-09-11,0.71,0.71,0.71,0.71,4000,EUR,YPR3,spain
2019-09-23,0.72,0.72,0.72,0.72,500,EUR,YPR3,spain
2019-09-27,0.72,0.72,0.72,0.72,600,EUR,YPR3,spain
2019-10-23,0.72,0.72,0.72,0.72,500,EUR,YPR3,spain
2019-12-06,0.72,0.72,0.72,0.72,27761,EUR,YPR3,spain
2019-12-09,0.73,0.73,0.73,0.73,1500,EUR,YPR3,spain
2019-12-18,0.72,0.72,0.72,0.72,6945,EUR,YPR3,spain
2019-12-19,0.71,0.71,0.7,0.7,16050,EUR,YPR3,spain
2019-12-20,0.7,0.7,0.7,0.7,7145,EUR,YPR3,spain
2019-12-23,0.69,0.69,0.69,0.69,333,EUR,YPR3,spain
2020-02-28,0.69,0.69,0.69,0.69,2,EUR,YPR3,spain
2020-03-17,0.69,0.69,0.69,0.69,14500,EUR,YPR3,spain
2020-03-18,0.69,0.69,0.69,0.69,7250,EUR,YPR3,spain
2020-09-29,0.55,0.55,0.55,0.55,9091,EUR,YPR3,spain
2020-11-26,0.55,0.55,0.55,0.55,500,EUR,YPR3,spain
2021-01-13,0.55,0.56,0.55,0.56,18101,EUR,YPR3,spain
2021-02-08,0.56,0.56,0.56,0.56,0,EUR,YPR3,spain
