Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2018-01-30,14.4,14.4,14.4,14.4,283,EUR,YPSNA,spain
2018-01-31,14.5,14.5,14.5,14.5,345,EUR,YPSNA,spain
2018-07-02,14.4,14.4,14.4,14.4,705,EUR,YPSNA,spain
2018-07-03,14.4,14.4,14.4,14.4,695,EUR,YPSNA,spain
2018-07-04,14.3,14.3,14.3,14.3,705,EUR,YPSNA,spain
2018-07-25,14.3,14.3,14.3,14.3,705,EUR,YPSNA,spain
2018-07-26,14.3,14.3,14.3,14.3,704,EUR,YPSNA,spain
2018-07-27,14.3,14.3,14.3,14.3,704,EUR,YPSNA,spain
2018-08-31,14.2,14.2,14.2,14.2,353,EUR,YPSNA,spain
2018-10-18,14.1,14.1,14.1,14.1,705,EUR,YPSNA,spain
2018-10-23,14.0,14.0,14.0,14.0,705,EUR,YPSNA,spain
2018-11-02,13.8,13.8,13.7,13.7,1460,EUR,YPSNA,spain
2018-11-05,13.6,13.6,13.6,13.6,655,EUR,YPSNA,spain
2018-11-16,13.5,13.5,13.5,13.5,742,EUR,YPSNA,spain
2018-11-19,13.4,13.5,13.4,13.5,868,EUR,YPSNA,spain
2018-11-20,13.6,13.6,13.6,13.6,200,EUR,YPSNA,spain
2018-12-12,13.5,13.5,13.5,13.5,705,EUR,YPSNA,spain
2018-12-27,13.4,13.4,13.4,13.4,705,EUR,YPSNA,spain
2019-02-08,13.3,13.3,13.3,13.3,1025,EUR,YPSNA,spain
2019-02-14,13.2,13.2,13.2,13.2,705,EUR,YPSNA,spain
2019-02-20,13.1,13.1,13.1,13.1,1600,EUR,YPSNA,spain
2019-02-22,13.0,13.0,13.0,13.0,375,EUR,YPSNA,spain
2019-02-26,12.9,12.9,12.9,12.9,800,EUR,YPSNA,spain
2019-03-07,12.8,12.8,12.8,12.8,397,EUR,YPSNA,spain
2019-03-19,12.7,12.7,12.7,12.7,512,EUR,YPSNA,spain
2019-03-20,12.6,12.6,12.6,12.6,800,EUR,YPSNA,spain
2019-03-27,12.6,12.6,12.6,12.6,1315,EUR,YPSNA,spain
2019-05-02,12.5,12.5,12.5,12.6,157,EUR,YPSNA,spain
2019-05-06,12.5,12.5,12.5,12.6,90,EUR,YPSNA,spain
2019-05-14,12.5,12.5,12.5,12.5,391,EUR,YPSNA,spain
2019-05-31,12.4,12.4,12.4,12.4,705,EUR,YPSNA,spain
2019-07-10,12.3,12.3,12.3,12.4,135,EUR,YPSNA,spain
2019-09-12,12.3,12.3,12.3,12.3,705,EUR,YPSNA,spain
2019-09-13,12.4,12.4,12.4,12.4,800,EUR,YPSNA,spain
2019-09-16,12.5,12.5,12.5,12.5,806,EUR,YPSNA,spain
2019-09-18,12.6,12.6,12.6,12.6,705,EUR,YPSNA,spain
2019-09-24,12.7,12.7,12.7,12.6,100,EUR,YPSNA,spain
2019-09-27,12.8,12.8,12.8,12.8,1787,EUR,YPSNA,spain
2019-10-15,12.9,12.9,12.9,12.9,5468,EUR,YPSNA,spain
2019-11-11,13.0,13.0,13.0,13.0,800,EUR,YPSNA,spain
2019-11-12,12.9,12.9,12.9,13.0,157,EUR,YPSNA,spain
2019-11-13,13.0,13.0,13.0,13.0,367,EUR,YPSNA,spain
2019-11-14,12.9,12.9,12.9,12.9,705,EUR,YPSNA,spain
2019-12-04,12.8,12.8,12.8,12.8,705,EUR,YPSNA,spain
2019-12-16,12.9,12.9,12.7,12.7,1150,EUR,YPSNA,spain
2019-12-17,12.6,12.6,12.6,12.6,705,EUR,YPSNA,spain
2019-12-18,12.8,12.8,12.8,12.8,200,EUR,YPSNA,spain
2019-12-19,16.1,16.1,16.1,16.1,402778,EUR,YPSNA,spain
2019-12-20,16.1,16.1,16.1,16.1,57867,EUR,YPSNA,spain
2019-12-24,16.1,16.2,16.1,16.2,885,EUR,YPSNA,spain
2019-12-27,16.1,16.1,16.1,16.1,705,EUR,YPSNA,spain
2019-12-30,16.1,16.1,16.1,16.1,705,EUR,YPSNA,spain
2020-01-02,16.1,16.1,16.1,16.1,1410,EUR,YPSNA,spain
2020-01-08,16.1,16.1,16.1,16.1,1000,EUR,YPSNA,spain
2020-01-29,16.1,16.1,16.1,16.1,705,EUR,YPSNA,spain
2020-02-06,16.1,16.1,16.1,16.1,705,EUR,YPSNA,spain
2020-02-19,16.1,16.1,16.1,16.1,1409,EUR,YPSNA,spain
2020-02-27,16.1,16.1,16.1,16.1,705,EUR,YPSNA,spain
2020-02-28,16.1,16.1,16.1,16.1,705,EUR,YPSNA,spain
