Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2018-07-11,1.05,1.06,1.05,1.06,9525,EUR,YQPQ,spain
2018-07-12,1.07,1.08,1.07,1.08,9303,EUR,YQPQ,spain
2018-07-13,1.09,1.1,1.09,1.1,9134,EUR,YQPQ,spain
2018-07-16,1.11,1.13,1.11,1.13,8935,EUR,YQPQ,spain
2018-07-17,1.15,1.15,1.15,1.15,1800,EUR,YQPQ,spain
2018-07-18,1.16,1.16,1.16,1.16,4781,EUR,YQPQ,spain
2018-07-24,1.17,1.18,1.17,1.18,1792,EUR,YQPQ,spain
2018-08-01,1.18,1.18,1.18,1.18,1000,EUR,YQPQ,spain
2018-09-27,1.19,1.19,1.19,1.19,2117,EUR,YQPQ,spain
2018-12-28,1.2,1.2,1.2,1.2,4300,EUR,YQPQ,spain
2019-01-08,1.2,1.2,1.2,1.2,0,EUR,YQPQ,spain
2019-02-07,1.17,1.17,1.16,1.16,8620,EUR,YQPQ,spain
2019-02-08,1.15,1.15,1.15,1.15,1530,EUR,YQPQ,spain
2019-02-13,1.13,1.13,1.13,1.13,4400,EUR,YQPQ,spain
2019-02-15,1.13,1.13,1.13,1.13,4500,EUR,YQPQ,spain
2019-03-04,1.13,1.13,1.13,1.13,2800,EUR,YQPQ,spain
2019-06-14,1.13,1.13,1.13,1.13,18000,EUR,YQPQ,spain
2019-06-18,1.13,1.13,1.13,1.13,18000,EUR,YQPQ,spain
2019-06-19,1.13,1.13,1.13,1.13,9000,EUR,YQPQ,spain
2019-06-20,1.13,1.13,1.13,1.13,16000,EUR,YQPQ,spain
2019-07-01,1.13,1.13,1.13,1.13,15000,EUR,YQPQ,spain
2019-07-08,1.12,1.12,1.12,1.12,5000,EUR,YQPQ,spain
2019-07-16,1.11,1.11,1.11,1.11,85000,EUR,YQPQ,spain
2019-07-17,1.1,1.1,1.1,1.1,25000,EUR,YQPQ,spain
2019-07-18,1.11,1.11,1.11,1.11,10000,EUR,YQPQ,spain
2019-07-19,1.13,1.13,1.13,1.13,9000,EUR,YQPQ,spain
2019-07-22,1.14,1.14,1.14,1.14,20000,EUR,YQPQ,spain
2019-07-30,1.13,1.13,1.13,1.13,10000,EUR,YQPQ,spain
2019-07-31,1.13,1.13,1.13,1.13,9000,EUR,YQPQ,spain
2019-08-01,1.13,1.13,1.13,1.13,20000,EUR,YQPQ,spain
2019-08-02,1.13,1.13,1.13,1.13,20000,EUR,YQPQ,spain
2019-08-05,1.13,1.13,1.13,1.13,18000,EUR,YQPQ,spain
2019-08-06,1.13,1.13,1.13,1.13,18000,EUR,YQPQ,spain
2019-08-07,1.13,1.13,1.13,1.13,18000,EUR,YQPQ,spain
2019-08-08,1.13,1.13,1.13,1.13,18000,EUR,YQPQ,spain
2019-09-16,1.12,1.12,1.12,1.12,9000,EUR,YQPQ,spain
2019-09-30,1.1,1.1,1.1,1.1,9000,EUR,YQPQ,spain
2019-10-03,1.09,1.09,1.09,1.09,5000,EUR,YQPQ,spain
2019-10-14,1.08,1.08,1.08,1.08,9000,EUR,YQPQ,spain
2019-10-17,1.07,1.07,1.07,1.07,9000,EUR,YQPQ,spain
2019-10-18,1.06,1.06,1.06,1.06,1000,EUR,YQPQ,spain
2019-10-21,1.04,1.04,1.04,1.04,12716,EUR,YQPQ,spain
2019-10-22,1.06,1.06,1.06,1.06,9000,EUR,YQPQ,spain
2019-10-30,1.05,1.05,1.05,1.05,490,EUR,YQPQ,spain
