Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2016-10-03,1.67,1.67,1.67,1.66,45,EUR,YQUO,spain
2016-12-28,1.65,1.65,1.65,1.66,45,EUR,YQUO,spain
2017-06-05,1.67,1.67,1.67,1.67,1800,EUR,YQUO,spain
2017-08-21,1.68,1.68,1.68,1.68,1242425,EUR,YQUO,spain
2017-09-04,1.68,1.68,1.68,1.68,60605,EUR,YQUO,spain
2017-09-11,1.68,1.68,1.68,1.68,60605,EUR,YQUO,spain
2017-10-04,1.68,1.68,1.68,1.68,803030,EUR,YQUO,spain
2017-11-28,1.68,1.68,1.68,1.68,181818,EUR,YQUO,spain
2017-12-04,1.68,1.68,1.68,1.68,30000,EUR,YQUO,spain
2017-12-07,1.69,1.69,1.69,1.69,3000,EUR,YQUO,spain
2017-12-08,1.7,1.7,1.7,1.7,3000,EUR,YQUO,spain
2017-12-11,1.71,1.71,1.71,1.71,3000,EUR,YQUO,spain
2017-12-12,1.72,1.72,1.72,1.72,1000,EUR,YQUO,spain
2017-12-15,1.73,1.74,1.73,1.74,5000,EUR,YQUO,spain
2018-01-17,1.74,1.74,1.74,1.74,909089,EUR,YQUO,spain
2018-01-18,1.82,1.82,1.82,1.82,4000,EUR,YQUO,spain
2018-01-24,1.83,1.83,1.83,1.83,500,EUR,YQUO,spain
2018-01-25,1.85,1.85,1.85,1.85,2500,EUR,YQUO,spain
2018-01-29,1.91,1.91,1.91,1.91,2750,EUR,YQUO,spain
2018-02-12,1.88,1.88,1.88,1.88,2660,EUR,YQUO,spain
2018-02-13,1.89,1.89,1.89,1.88,150,EUR,YQUO,spain
2018-02-14,1.89,1.89,1.89,1.88,49,EUR,YQUO,spain
2018-02-15,1.89,1.89,1.89,1.89,2646,EUR,YQUO,spain
2018-02-16,1.92,1.92,1.92,1.92,222,EUR,YQUO,spain
2018-02-19,1.95,1.95,1.95,1.92,1,EUR,YQUO,spain
2018-02-21,1.96,1.96,1.96,1.96,2565,EUR,YQUO,spain
2018-02-26,1.98,1.98,1.98,1.98,425,EUR,YQUO,spain
2018-02-27,2.0,2.0,2.0,2.0,2513,EUR,YQUO,spain
2018-03-01,2.1,2.1,2.1,2.1,3000,EUR,YQUO,spain
2018-03-05,2.12,2.12,2.12,2.12,2513,EUR,YQUO,spain
2018-03-08,2.12,2.12,2.12,2.12,487,EUR,YQUO,spain
2018-03-12,2.06,2.06,2.06,2.06,2404,EUR,YQUO,spain
2018-03-13,2.0,2.0,2.0,2.0,2109,EUR,YQUO,spain
2018-03-20,2.0,2.0,2.0,2.0,487,EUR,YQUO,spain
2018-03-28,1.98,1.98,1.98,1.98,484850,EUR,YQUO,spain
2018-04-12,2.0,2.0,2.0,2.0,155015,EUR,YQUO,spain
2018-07-23,1.96,1.96,1.96,1.96,2539,EUR,YQUO,spain
2018-07-26,1.95,1.95,1.95,1.95,2539,EUR,YQUO,spain
2018-09-14,1.92,1.92,1.92,1.92,1800,EUR,YQUO,spain
2019-06-28,1.87,1.87,1.87,1.87,2674,EUR,YQUO,spain
2019-07-02,1.84,1.84,1.81,1.81,5481,EUR,YQUO,spain
2019-07-03,1.78,1.78,1.78,1.78,2809,EUR,YQUO,spain
2019-07-15,1.78,1.78,1.78,1.78,60606,EUR,YQUO,spain
