Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2016-06-03,1.13,1.13,1.13,1.13,521,EUR,YSCI,spain
2016-06-06,1.13,1.13,1.13,1.13,500,EUR,YSCI,spain
2018-09-10,0.86,0.86,0.86,0.86,1,EUR,YSCI,spain
2019-01-25,0.81,0.81,0.81,0.81,5782,EUR,YSCI,spain
2019-01-28,0.81,0.81,0.81,0.81,5800,EUR,YSCI,spain
2019-01-31,0.81,0.81,0.81,0.81,11582,EUR,YSCI,spain
2019-04-03,0.81,0.82,0.81,0.82,12400,EUR,YSCI,spain
2019-04-04,0.82,0.83,0.82,0.83,12400,EUR,YSCI,spain
2019-04-05,0.83,0.84,0.83,0.84,12400,EUR,YSCI,spain
2019-04-08,0.84,0.85,0.84,0.85,12400,EUR,YSCI,spain
2019-04-10,0.86,0.86,0.86,0.86,12400,EUR,YSCI,spain
2019-04-15,0.87,0.88,0.87,0.88,12400,EUR,YSCI,spain
2019-05-02,0.88,0.89,0.88,0.89,11600,EUR,YSCI,spain
2019-05-03,0.89,0.9,0.89,0.9,11390,EUR,YSCI,spain
2019-05-08,0.91,0.91,0.91,0.91,1100,EUR,YSCI,spain
2019-05-10,0.92,0.92,0.92,0.92,5470,EUR,YSCI,spain
2019-05-13,0.92,0.92,0.92,0.92,5450,EUR,YSCI,spain
2019-05-14,0.94,0.94,0.94,0.94,10900,EUR,YSCI,spain
2019-06-05,0.96,0.96,0.96,0.96,5200,EUR,YSCI,spain
2019-06-06,0.96,0.96,0.96,0.96,8404,EUR,YSCI,spain
