Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2017-12-29,1.17,1.17,1.17,1.17,1000,EUR,YSPS,spain
2018-01-03,1.16,1.16,1.16,1.16,11388,EUR,YSPS,spain
2018-01-04,1.18,1.18,1.18,1.18,4000,EUR,YSPS,spain
2018-01-05,1.18,1.18,1.18,1.18,7000,EUR,YSPS,spain
2018-01-08,1.19,1.19,1.19,1.19,4202,EUR,YSPS,spain
2018-01-09,1.2,1.21,1.2,1.21,11133,EUR,YSPS,spain
2018-01-10,1.22,1.22,1.22,1.22,8000,EUR,YSPS,spain
2018-01-11,1.23,1.23,1.23,1.22,82,EUR,YSPS,spain
2018-01-12,1.24,1.24,1.24,1.24,12033,EUR,YSPS,spain
2018-01-15,1.26,1.26,1.26,1.26,4032,EUR,YSPS,spain
2018-02-09,1.26,1.26,1.26,1.26,1000,EUR,YSPS,spain
2018-07-24,1.26,1.28,1.26,1.28,6338,EUR,YSPS,spain
2019-02-08,1.29,1.29,1.29,1.29,1950,EUR,YSPS,spain
2019-02-14,1.28,1.28,1.25,1.25,6338,EUR,YSPS,spain
2019-02-19,1.25,1.25,1.25,1.25,1950,EUR,YSPS,spain
2019-02-27,1.27,1.27,1.27,1.27,2000,EUR,YSPS,spain
2019-03-29,1.27,1.27,1.27,1.27,3938,EUR,YSPS,spain
2019-04-29,1.28,1.28,1.28,1.28,2562,EUR,YSPS,spain
2019-07-04,1.27,1.27,1.27,1.27,3938,EUR,YSPS,spain
2019-07-08,1.28,1.28,1.28,1.28,1438,EUR,YSPS,spain
2019-07-30,1.27,1.27,1.27,1.27,3938,EUR,YSPS,spain
2019-07-31,1.25,1.25,1.25,1.27,62,EUR,YSPS,spain
2019-08-20,1.25,1.25,1.25,1.25,1000,EUR,YSPS,spain
2019-08-27,1.26,1.26,1.26,1.26,1000,EUR,YSPS,spain
2019-08-30,1.27,1.27,1.27,1.27,3938,EUR,YSPS,spain
2019-09-04,1.28,1.28,1.28,1.28,3907,EUR,YSPS,spain
2019-09-18,1.28,1.28,1.28,1.28,3907,EUR,YSPS,spain
2019-10-16,1.28,1.3,1.28,1.3,6000,EUR,YSPS,spain
2019-11-12,1.31,1.31,1.31,1.31,1500,EUR,YSPS,spain
2019-12-09,1.32,1.32,1.32,1.32,1000,EUR,YSPS,spain
2019-12-13,1.35,1.35,1.35,1.35,4000,EUR,YSPS,spain
2019-12-16,1.36,1.36,1.36,1.36,500,EUR,YSPS,spain
2020-02-13,1.35,1.35,1.35,1.35,363,EUR,YSPS,spain
2020-02-14,1.37,1.37,1.37,1.37,1363,EUR,YSPS,spain
2020-03-18,1.35,1.35,1.33,1.33,7460,EUR,YSPS,spain
2020-03-19,1.29,1.29,1.29,1.29,2540,EUR,YSPS,spain
2020-06-15,1.29,1.3,1.29,1.3,7723,EUR,YSPS,spain
2020-07-09,1.3,1.3,1.28,1.28,7723,EUR,YSPS,spain
2020-09-25,1.28,1.28,1.28,1.28,3907,EUR,YSPS,spain
2020-10-05,1.3,1.3,1.3,1.3,3847,EUR,YSPS,spain
2020-10-06,1.32,1.32,1.32,1.32,3788,EUR,YSPS,spain
2020-10-21,1.34,1.34,1.34,1.34,3732,EUR,YSPS,spain
2020-10-22,1.33,1.33,1.33,1.33,4032,EUR,YSPS,spain
2020-11-27,1.34,1.34,1.34,1.34,3750,EUR,YSPS,spain
2020-12-29,1.35,1.35,1.35,1.35,3704,EUR,YSPS,spain
2020-12-30,1.37,1.39,1.37,1.39,4296,EUR,YSPS,spain
2021-02-03,1.39,1.39,1.39,1.39,1400,EUR,YSPS,spain
