Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2018-04-04,11.3,11.3,11.3,11.3,533,EUR,YTEM,spain
2018-04-06,11.3,11.3,11.3,11.3,1000,EUR,YTEM,spain
2018-04-09,11.2,11.2,11.0,11.0,962,EUR,YTEM,spain
2018-04-10,11.0,11.0,11.0,11.0,455,EUR,YTEM,spain
2018-04-11,10.8,10.8,10.4,10.4,1039,EUR,YTEM,spain
2018-04-16,10.4,10.4,10.4,10.4,308,EUR,YTEM,spain
2018-04-18,10.8,10.8,10.8,10.8,4792,EUR,YTEM,spain
2018-04-20,10.8,10.8,10.8,10.8,500,EUR,YTEM,spain
2018-04-25,10.8,10.8,10.8,10.8,3700,EUR,YTEM,spain
2018-05-10,10.7,10.7,10.7,10.7,565,EUR,YTEM,spain
2018-05-14,10.7,10.7,10.7,10.7,468,EUR,YTEM,spain
2018-05-15,10.8,10.8,10.8,10.8,392,EUR,YTEM,spain
2018-05-16,10.7,10.7,10.7,10.7,392,EUR,YTEM,spain
2018-05-21,10.7,10.7,10.7,10.7,468,EUR,YTEM,spain
2018-05-24,10.7,10.7,10.7,10.7,500,EUR,YTEM,spain
2018-05-28,10.6,10.7,10.6,10.6,988,EUR,YTEM,spain
2018-05-29,10.6,10.6,10.6,10.6,1462,EUR,YTEM,spain
2018-05-30,10.5,10.5,10.5,10.5,472,EUR,YTEM,spain
2018-06-04,10.4,10.4,10.4,10.4,481,EUR,YTEM,spain
2018-06-06,10.3,10.3,10.3,10.3,486,EUR,YTEM,spain
2018-06-08,10.4,10.4,10.4,10.4,500,EUR,YTEM,spain
2018-07-20,10.4,10.4,10.4,10.4,100,EUR,YTEM,spain
2018-09-25,10.4,10.4,10.4,10.4,962,EUR,YTEM,spain
2018-10-24,10.3,10.3,10.3,10.4,38,EUR,YTEM,spain
2018-11-13,10.5,10.5,10.5,10.5,468,EUR,YTEM,spain
2018-11-19,10.6,10.6,10.6,10.6,332,EUR,YTEM,spain
2018-11-30,10.7,10.7,10.7,10.6,8,EUR,YTEM,spain
2018-12-12,10.7,10.7,10.7,10.6,28,EUR,YTEM,spain
2018-12-18,10.5,10.5,10.5,10.6,36,EUR,YTEM,spain
2019-03-05,10.5,10.5,10.5,10.6,190,EUR,YTEM,spain
2019-03-08,10.7,10.7,10.7,10.7,468,EUR,YTEM,spain
2019-03-11,10.8,10.9,10.8,10.9,922,EUR,YTEM,spain
2019-03-12,11.0,11.1,11.0,11.1,906,EUR,YTEM,spain
2019-03-13,11.2,11.3,11.2,11.3,890,EUR,YTEM,spain
2019-05-14,11.2,11.2,11.2,11.2,447,EUR,YTEM,spain
2019-05-15,11.1,11.1,11.1,11.2,163,EUR,YTEM,spain
2019-06-03,11.1,11.1,11.1,11.1,451,EUR,YTEM,spain
2019-07-03,11.1,11.1,11.1,11.1,405,EUR,YTEM,spain
2019-07-05,11.1,11.1,11.1,11.1,3952,EUR,YTEM,spain
2019-07-08,12.1,12.1,12.1,12.1,1283,EUR,YTEM,spain
2019-07-10,12.1,12.1,12.1,12.1,828,EUR,YTEM,spain
2019-07-11,12.1,12.1,12.1,12.1,828,EUR,YTEM,spain
2019-07-12,12.1,12.1,12.1,12.1,828,EUR,YTEM,spain
2019-07-15,12.1,12.1,12.1,12.1,828,EUR,YTEM,spain
2019-07-16,4.82,4.82,4.82,4.82,828,EUR,YTEM,spain
2019-07-17,4.82,4.82,4.82,4.82,828,EUR,YTEM,spain
2019-07-18,4.82,4.82,4.82,4.82,828,EUR,YTEM,spain
2019-07-26,4.7,4.7,4.7,4.7,848,EUR,YTEM,spain
2019-08-02,5.1,5.1,5.1,5.1,200,EUR,YTEM,spain
2019-08-05,5.05,5.05,5.05,5.05,405,EUR,YTEM,spain
2020-03-17,5.0,5.0,5.0,5.0,1000,EUR,YTEM,spain
2020-04-01,4.96,4.96,4.96,5.0,178,EUR,YTEM,spain
