Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2018-09-05,11.4,11.4,11.4,11.4,263,EUR,YTOR,spain
2019-02-22,11.5,11.5,11.5,11.5,435,EUR,YTOR,spain
2019-03-19,11.4,11.4,11.4,11.4,435,EUR,YTOR,spain
2020-05-21,11.3,11.3,11.3,11.4,198,EUR,YTOR,spain
2020-05-22,11.3,11.3,11.3,11.4,198,EUR,YTOR,spain
2020-05-28,11.2,11.2,11.2,11.4,100,EUR,YTOR,spain
2020-06-16,10.9,10.9,10.9,11.4,190,EUR,YTOR,spain
2020-06-17,11.0,11.0,11.0,11.4,194,EUR,YTOR,spain
2020-06-19,10.9,10.9,10.9,11.4,198,EUR,YTOR,spain
2020-06-22,10.9,10.9,10.9,10.9,200,EUR,YTOR,spain
2020-06-29,11.0,11.0,11.0,10.9,10,EUR,YTOR,spain
2020-07-01,10.4,10.4,10.4,10.4,200,EUR,YTOR,spain
2020-07-07,10.3,10.3,10.3,10.3,200,EUR,YTOR,spain
2020-07-09,10.1,10.1,10.1,10.3,196,EUR,YTOR,spain
2020-07-14,10.0,10.0,10.0,10.3,197,EUR,YTOR,spain
