Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2015-07-31,10.0,10.0,10.0,10.0,1633,EUR,YTRA,spain
2015-08-03,10.05,10.05,10.05,10.0,57,EUR,YTRA,spain
2015-08-06,9.67,9.67,9.67,9.67,510,EUR,YTRA,spain
2015-08-11,9.71,9.71,9.71,9.71,224,EUR,YTRA,spain
2015-08-14,9.68,9.68,9.68,9.68,224,EUR,YTRA,spain
2015-08-31,9.68,9.68,9.68,9.68,204,EUR,YTRA,spain
2015-09-02,9.71,9.71,9.71,9.71,408,EUR,YTRA,spain
2015-09-03,9.71,9.71,9.71,9.71,204,EUR,YTRA,spain
2015-09-04,9.76,9.76,9.76,9.71,173,EUR,YTRA,spain
2015-09-11,9.76,10.05,9.76,10.05,2526,EUR,YTRA,spain
2015-10-08,10.0,10.0,10.0,10.0,255,EUR,YTRA,spain
2015-10-09,10.0,10.0,10.0,10.0,255,EUR,YTRA,spain
2015-11-02,9.94,9.94,9.94,9.94,255,EUR,YTRA,spain
2015-11-05,9.94,9.94,9.94,9.94,102,EUR,YTRA,spain
2015-11-11,9.94,9.94,9.94,9.94,500,EUR,YTRA,spain
2015-11-12,9.94,9.94,9.94,9.94,163,EUR,YTRA,spain
2015-12-01,9.96,9.96,9.96,9.96,278,EUR,YTRA,spain
2015-12-08,9.96,9.96,9.96,9.96,102,EUR,YTRA,spain
2015-12-16,9.96,9.96,9.96,9.96,102,EUR,YTRA,spain
2015-12-22,9.96,9.96,9.96,9.96,129,EUR,YTRA,spain
2015-12-31,9.96,9.96,9.96,9.96,306,EUR,YTRA,spain
2016-01-18,9.96,9.96,9.96,9.96,102,EUR,YTRA,spain
2016-01-20,9.86,9.86,9.86,9.86,2133,EUR,YTRA,spain
2016-01-21,9.76,9.76,9.76,9.76,1531,EUR,YTRA,spain
2016-01-25,9.67,9.67,9.67,9.67,6342,EUR,YTRA,spain
2016-02-16,9.76,9.76,9.76,9.76,204,EUR,YTRA,spain
2016-02-17,9.67,9.67,9.67,9.67,5103,EUR,YTRA,spain
2016-03-07,9.67,9.67,9.67,9.67,510,EUR,YTRA,spain
2016-03-11,9.81,9.81,9.81,9.81,204,EUR,YTRA,spain
2016-03-14,9.86,9.86,9.86,9.81,5,EUR,YTRA,spain
2016-03-31,9.86,9.86,9.86,9.86,505,EUR,YTRA,spain
2016-04-06,9.86,9.86,9.86,9.86,204,EUR,YTRA,spain
2016-04-11,9.86,9.86,9.86,9.86,102,EUR,YTRA,spain
2016-04-19,9.76,9.76,9.76,9.76,4794,EUR,YTRA,spain
2016-04-22,9.86,9.86,9.86,9.76,102,EUR,YTRA,spain
2016-04-25,9.86,9.86,9.86,9.86,306,EUR,YTRA,spain
2016-05-09,9.96,9.96,9.96,9.96,459,EUR,YTRA,spain
2016-05-19,10.0,10.0,10.0,10.0,419,EUR,YTRA,spain
2016-05-25,10.0,10.0,9.88,9.88,2091,EUR,YTRA,spain
2016-06-30,10.29,10.29,10.29,10.29,2128,EUR,YTRA,spain
2016-07-01,10.29,10.29,10.29,10.29,852,EUR,YTRA,spain
2016-09-14,10.3,10.3,10.3,10.3,288,EUR,YTRA,spain
2016-09-21,10.26,10.26,10.26,10.26,481,EUR,YTRA,spain
2016-10-03,10.25,10.25,10.25,10.25,1500,EUR,YTRA,spain
2016-10-04,10.25,10.25,10.25,10.25,24525,EUR,YTRA,spain
2016-10-05,10.25,10.25,10.25,10.25,27000,EUR,YTRA,spain
2016-10-06,10.25,10.25,10.25,10.25,2500,EUR,YTRA,spain
2016-10-07,10.25,10.25,10.25,10.25,1494,EUR,YTRA,spain
2016-10-20,10.25,10.25,10.25,10.25,10000,EUR,YTRA,spain
2016-10-26,10.25,10.25,10.25,10.25,1176,EUR,YTRA,spain
2016-10-27,10.25,10.25,10.25,10.25,500,EUR,YTRA,spain
2016-11-03,10.25,10.25,10.25,10.25,485,EUR,YTRA,spain
2016-11-24,10.25,10.25,10.25,10.25,120,EUR,YTRA,spain
2016-12-09,10.25,10.25,10.25,10.25,5300,EUR,YTRA,spain
2016-12-13,10.31,10.31,10.31,10.31,501,EUR,YTRA,spain
2016-12-22,10.36,10.36,10.36,10.36,352,EUR,YTRA,spain
2016-12-28,10.36,10.36,10.36,10.36,288,EUR,YTRA,spain
2017-01-02,10.36,10.36,10.36,10.36,300,EUR,YTRA,spain
2017-01-04,10.36,10.36,10.36,10.36,5600,EUR,YTRA,spain
2017-01-05,10.26,10.26,10.26,10.26,2832,EUR,YTRA,spain
2017-01-16,10.16,10.16,10.16,10.26,25,EUR,YTRA,spain
2017-01-24,10.16,10.16,10.16,10.16,3398,EUR,YTRA,spain
2017-02-16,10.16,10.16,10.16,10.16,3745,EUR,YTRA,spain
2017-02-20,10.16,10.16,10.16,10.16,1255,EUR,YTRA,spain
2017-03-23,10.26,10.26,10.26,10.26,800,EUR,YTRA,spain
2017-03-28,10.26,10.26,10.26,10.26,2403,EUR,YTRA,spain
2017-03-29,10.26,10.26,10.26,10.26,542,EUR,YTRA,spain
2017-04-07,10.31,10.31,10.31,10.31,479,EUR,YTRA,spain
2017-04-20,10.26,10.26,10.26,10.26,2800,EUR,YTRA,spain
2017-04-21,10.26,10.26,10.26,10.26,481,EUR,YTRA,spain
2017-04-25,10.16,10.16,10.16,10.16,3486,EUR,YTRA,spain
2017-05-05,10.26,10.26,10.22,10.22,2392,EUR,YTRA,spain
2017-05-10,10.16,10.16,10.16,10.16,1331,EUR,YTRA,spain
2017-05-11,10.31,10.31,10.31,10.31,479,EUR,YTRA,spain
2017-05-23,10.45,10.45,10.45,10.31,190,EUR,YTRA,spain
2017-06-08,10.5,10.5,10.5,10.5,477,EUR,YTRA,spain
2017-06-09,10.58,10.58,10.58,10.58,473,EUR,YTRA,spain
2017-06-23,10.45,10.45,10.45,10.45,742,EUR,YTRA,spain
2017-06-28,10.55,10.55,10.55,10.45,100,EUR,YTRA,spain
2017-06-30,10.55,10.55,10.55,10.55,317,EUR,YTRA,spain
2017-07-06,10.6,10.6,10.6,10.6,3000,EUR,YTRA,spain
2017-07-10,10.6,10.6,10.55,10.55,3000,EUR,YTRA,spain
2017-07-11,10.66,10.66,10.66,10.66,470,EUR,YTRA,spain
2017-07-12,10.76,10.76,10.76,10.66,30,EUR,YTRA,spain
2017-08-02,10.66,10.76,10.66,10.76,680,EUR,YTRA,spain
2017-09-04,10.81,10.81,10.81,10.76,5,EUR,YTRA,spain
2017-09-05,10.8,10.8,10.8,10.8,230,EUR,YTRA,spain
2017-09-06,10.86,10.86,10.86,10.86,461,EUR,YTRA,spain
2017-09-19,10.97,10.97,10.97,10.86,10,EUR,YTRA,spain
2017-10-20,10.9,10.9,10.9,10.9,50000,EUR,YTRA,spain
2017-10-27,10.97,10.97,10.97,10.9,5,EUR,YTRA,spain
2017-11-24,10.9,10.9,10.9,10.9,5000,EUR,YTRA,spain
2017-12-12,10.91,10.91,10.91,10.91,455,EUR,YTRA,spain
2017-12-14,10.91,10.91,10.91,10.91,10,EUR,YTRA,spain
2017-12-20,11.01,11.01,11.01,11.01,535,EUR,YTRA,spain
2017-12-22,11.23,11.23,11.23,11.23,446,EUR,YTRA,spain
2018-01-02,11.37,11.37,11.37,11.37,440,EUR,YTRA,spain
2018-01-03,11.9,12.4,11.9,12.4,4000,EUR,YTRA,spain
2018-01-05,12.2,12.2,12.2,12.4,7,EUR,YTRA,spain
2018-01-11,12.4,12.4,12.4,12.4,160,EUR,YTRA,spain
2018-01-19,12.4,12.4,12.4,12.4,10,EUR,YTRA,spain
2018-01-25,12.2,12.2,12.2,12.2,410,EUR,YTRA,spain
2018-01-26,12.2,12.2,12.2,12.2,2500,EUR,YTRA,spain
2018-02-02,12.0,12.0,12.0,12.0,417,EUR,YTRA,spain
2018-02-05,11.8,11.8,11.6,11.6,856,EUR,YTRA,spain
2018-02-06,11.4,11.4,10.9,10.9,36227,EUR,YTRA,spain
2018-02-15,10.9,10.9,10.9,10.9,1834,EUR,YTRA,spain
2018-02-26,10.9,10.9,10.9,10.9,160,EUR,YTRA,spain
2018-02-27,11.0,11.0,11.0,11.0,1818,EUR,YTRA,spain
2018-03-12,10.6,10.6,10.6,10.6,20000,EUR,YTRA,spain
2018-03-13,11.0,11.0,11.0,11.0,963,EUR,YTRA,spain
2018-03-21,10.5,10.5,10.5,10.5,17500,EUR,YTRA,spain
