Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2015-03-13,102.5,107.6,102.5,100.0,120,EUR,YURO,spain
2015-03-16,102.5,104.9,102.5,100.0,59,EUR,YURO,spain
2015-03-17,104.8,104.8,104.8,100.0,60,EUR,YURO,spain
2015-03-18,100.0,100.0,97.5,100.0,41,EUR,YURO,spain
2015-03-19,97.0,97.0,97.0,100.0,52,EUR,YURO,spain
2015-03-20,102.0,107.1,102.0,100.0,144,EUR,YURO,spain
2015-03-23,103.0,103.0,103.0,100.0,50,EUR,YURO,spain
2015-03-24,103.05,103.05,103.05,100.0,50,EUR,YURO,spain
2015-03-25,103.05,105.5,103.05,100.0,99,EUR,YURO,spain
2015-03-26,103.05,105.5,103.05,100.0,99,EUR,YURO,spain
2015-03-27,103.07,105.5,103.07,100.0,99,EUR,YURO,spain
2015-03-30,102.8,105.0,102.8,100.0,129,EUR,YURO,spain
2015-03-31,102.5,105.0,102.5,100.0,99,EUR,YURO,spain
2015-04-01,102.5,105.0,102.5,100.0,99,EUR,YURO,spain
2015-04-02,103.0,105.5,103.0,100.0,100,EUR,YURO,spain
2015-04-07,103.0,103.05,103.0,100.0,65,EUR,YURO,spain
2015-04-08,103.05,103.05,103.05,100.0,50,EUR,YURO,spain
2015-04-09,103.1,105.5,103.1,100.0,99,EUR,YURO,spain
2015-04-10,103.05,103.05,103.05,100.0,50,EUR,YURO,spain
2015-04-13,103.5,103.5,103.5,100.0,50,EUR,YURO,spain
2015-04-14,103.0,103.0,103.0,100.0,50,EUR,YURO,spain
2015-04-15,103.0,103.0,103.0,100.0,50,EUR,YURO,spain
2015-04-16,103.05,103.05,103.05,100.0,50,EUR,YURO,spain
2015-04-17,103.0,103.05,103.0,103.05,1550,EUR,YURO,spain
2015-04-30,105.5,105.5,105.5,103.05,40,EUR,YURO,spain
2015-05-04,105.5,105.5,105.5,103.05,47,EUR,YURO,spain
2015-05-05,105.5,105.5,105.5,103.05,47,EUR,YURO,spain
2015-05-06,105.5,105.5,105.5,103.05,48,EUR,YURO,spain
2015-05-07,105.5,105.5,105.5,103.05,71,EUR,YURO,spain
2015-05-08,105.5,105.5,105.5,103.05,19,EUR,YURO,spain
2015-05-14,105.5,105.5,105.5,103.05,3,EUR,YURO,spain
2015-05-15,105.5,108.0,105.5,103.05,94,EUR,YURO,spain
2015-05-28,105.5,105.5,105.5,103.05,16,EUR,YURO,spain
2015-05-29,103.0,103.0,103.0,103.05,40,EUR,YURO,spain
2015-06-17,105.5,105.5,105.5,103.05,135,EUR,YURO,spain
2015-06-18,105.5,105.5,105.5,103.05,63,EUR,YURO,spain
2015-06-19,105.5,105.5,105.5,103.05,34,EUR,YURO,spain
2015-06-25,105.5,105.5,105.5,103.05,148,EUR,YURO,spain
2015-06-26,105.5,105.5,105.5,105.5,218,EUR,YURO,spain
2015-06-29,108.1,108.1,108.1,105.5,116,EUR,YURO,spain
2015-06-30,108.1,108.1,108.1,105.5,13,EUR,YURO,spain
2015-07-06,108.1,108.1,108.1,105.5,57,EUR,YURO,spain
2015-07-07,108.0,108.0,105.5,105.5,98,EUR,YURO,spain
2015-07-10,108.1,108.1,108.1,105.5,97,EUR,YURO,spain
2015-07-13,108.1,110.5,108.1,105.5,93,EUR,YURO,spain
2015-07-14,108.1,108.1,108.1,105.5,47,EUR,YURO,spain
2015-07-15,108.5,108.5,108.5,105.5,47,EUR,YURO,spain
2015-07-16,108.1,110.5,108.1,105.5,91,EUR,YURO,spain
2015-07-17,108.1,111.0,108.1,105.5,97,EUR,YURO,spain
2015-07-20,110.7,110.7,110.7,105.5,47,EUR,YURO,spain
2015-07-21,110.7,113.2,110.7,105.5,92,EUR,YURO,spain
2015-07-22,110.77,113.5,110.77,105.5,92,EUR,YURO,spain
2015-07-23,110.77,116.3,110.77,116.3,247,EUR,YURO,spain
2015-07-24,117.0,119.9,117.0,116.3,24,EUR,YURO,spain
2015-07-28,119.2,119.2,119.2,116.3,42,EUR,YURO,spain
2015-07-29,119.2,119.2,118.0,116.3,84,EUR,YURO,spain
2015-07-30,58.3,58.3,58.3,56.88,26,EUR,YURO,spain
2015-07-31,58.3,58.3,58.3,56.88,40,EUR,YURO,spain
2015-08-03,58.3,58.3,58.3,56.88,30,EUR,YURO,spain
2015-08-04,58.3,58.3,58.3,56.88,86,EUR,YURO,spain
2015-08-05,58.3,58.3,58.3,56.88,86,EUR,YURO,spain
2015-08-06,58.3,59.65,58.3,56.88,136,EUR,YURO,spain
2015-08-07,58.3,58.3,58.3,56.88,86,EUR,YURO,spain
2015-08-10,58.3,58.3,58.3,56.88,86,EUR,YURO,spain
2015-08-11,58.3,58.3,58.3,56.88,70,EUR,YURO,spain
2015-08-20,59.0,59.0,59.0,56.88,86,EUR,YURO,spain
2015-08-21,58.3,58.3,58.3,56.88,49,EUR,YURO,spain
2015-09-07,58.0,58.0,58.0,56.88,31,EUR,YURO,spain
2015-09-11,56.88,56.88,56.88,56.88,841,EUR,YURO,spain
2015-09-24,56.88,56.88,56.88,56.88,842,EUR,YURO,spain
2015-09-29,56.88,56.88,56.88,56.88,824,EUR,YURO,spain
2015-10-06,56.88,56.88,56.88,56.88,150,EUR,YURO,spain
2015-10-09,58.3,58.3,58.3,56.88,86,EUR,YURO,spain
2015-10-14,57.0,57.0,57.0,57.0,350,EUR,YURO,spain
2015-10-19,55.6,55.6,55.6,57.0,30,EUR,YURO,spain
2015-11-30,56.0,56.0,56.0,57.0,150,EUR,YURO,spain
2015-12-21,53.9,53.9,53.9,52.65,16,EUR,YURO,spain
2015-12-23,53.9,53.9,53.9,52.65,50,EUR,YURO,spain
2016-01-21,51.4,51.4,51.4,52.65,98,EUR,YURO,spain
2016-02-11,52.0,52.0,52.0,52.65,96,EUR,YURO,spain
2016-02-12,52.15,52.15,52.15,52.65,4,EUR,YURO,spain
2016-05-23,53.15,53.15,53.15,52.65,20,EUR,YURO,spain
2016-07-12,44.0,44.0,44.0,43.91,22,EUR,YURO,spain
2016-07-20,43.48,43.48,43.48,43.91,115,EUR,YURO,spain
2016-07-21,43.48,43.48,43.48,43.91,115,EUR,YURO,spain
2016-07-22,43.48,43.48,43.48,43.91,115,EUR,YURO,spain
2016-07-26,43.48,43.48,43.48,43.91,115,EUR,YURO,spain
2016-08-02,41.72,41.72,41.72,43.91,169,EUR,YURO,spain
2016-08-03,43.05,43.05,43.05,43.91,52,EUR,YURO,spain
2016-08-05,43.05,43.05,43.05,43.91,23,EUR,YURO,spain
2016-08-24,43.91,43.91,43.91,43.91,10,EUR,YURO,spain
2016-09-21,43.91,43.91,43.91,43.91,15,EUR,YURO,spain
2016-10-04,43.05,43.05,43.05,43.91,117,EUR,YURO,spain
2016-12-16,43.11,43.11,43.11,42.69,25,EUR,YURO,spain
2017-01-13,43.11,43.11,42.68,42.69,128,EUR,YURO,spain
2017-01-24,42.27,42.27,42.27,42.69,119,EUR,YURO,spain
2017-02-02,42.69,42.69,42.69,42.69,685,EUR,YURO,spain
2017-02-07,42.69,42.69,42.69,42.69,281,EUR,YURO,spain
2017-02-08,42.69,42.69,42.69,42.69,1495,EUR,YURO,spain
2017-02-09,42.69,42.69,42.69,42.69,1092,EUR,YURO,spain
2017-02-13,42.69,42.69,42.69,42.69,220,EUR,YURO,spain
2017-02-17,43.11,43.11,43.11,42.69,53,EUR,YURO,spain
2017-03-15,42.27,42.27,42.27,42.69,119,EUR,YURO,spain
2017-03-20,43.11,43.54,43.11,43.54,231,EUR,YURO,spain
2017-03-30,43.98,43.98,43.98,43.54,114,EUR,YURO,spain
2017-03-31,43.98,44.41,43.98,43.54,155,EUR,YURO,spain
2017-04-03,43.98,43.98,43.98,43.54,114,EUR,YURO,spain
2017-04-20,43.98,43.98,43.98,43.54,20,EUR,YURO,spain
2017-05-25,43.98,43.98,43.98,43.54,30,EUR,YURO,spain
2017-05-31,43.98,43.98,43.98,43.54,45,EUR,YURO,spain
2017-06-05,43.98,43.98,43.98,43.54,22,EUR,YURO,spain
2017-07-04,41.69,41.69,41.69,41.28,48,EUR,YURO,spain
2017-07-05,41.69,41.69,41.69,41.28,82,EUR,YURO,spain
2017-07-07,40.87,40.87,40.87,41.28,123,EUR,YURO,spain
2017-07-10,40.87,40.87,40.87,41.28,7,EUR,YURO,spain
2017-08-03,41.69,41.69,41.69,41.28,50,EUR,YURO,spain
2017-08-31,40.87,40.87,40.87,41.28,123,EUR,YURO,spain
2017-09-01,40.87,40.87,40.87,40.87,246,EUR,YURO,spain
2017-09-12,40.47,40.47,40.47,40.87,100,EUR,YURO,spain
2017-10-05,40.47,40.47,40.47,40.87,94,EUR,YURO,spain
2017-10-06,40.47,40.47,40.47,40.87,124,EUR,YURO,spain
2017-10-09,40.47,40.47,40.47,40.87,124,EUR,YURO,spain
2017-10-16,40.06,40.06,40.06,40.87,125,EUR,YURO,spain
2017-10-17,40.06,40.06,40.06,40.87,125,EUR,YURO,spain
2017-10-19,40.0,40.0,40.0,40.87,79,EUR,YURO,spain
2017-12-04,40.0,40.0,40.0,40.87,113,EUR,YURO,spain
2018-01-22,41.4,41.4,41.4,41.4,383,EUR,YURO,spain
2018-01-23,41.0,41.0,41.0,41.4,73,EUR,YURO,spain
2018-02-21,41.0,41.0,41.0,41.4,98,EUR,YURO,spain
2018-04-24,41.8,42.2,41.8,42.2,240,EUR,YURO,spain
2018-04-25,42.6,43.0,42.6,42.2,120,EUR,YURO,spain
2018-05-10,44.2,44.2,44.2,42.2,175,EUR,YURO,spain
2018-05-31,44.2,44.2,44.2,44.2,240,EUR,YURO,spain
2018-06-01,45.6,45.6,45.6,44.2,30,EUR,YURO,spain
2018-06-04,46.4,46.4,46.4,46.4,310,EUR,YURO,spain
2018-06-05,48.6,48.6,48.6,48.6,200,EUR,YURO,spain
2018-06-06,51.0,51.0,51.0,48.6,25,EUR,YURO,spain
2018-06-07,51.0,51.0,51.0,51.0,200,EUR,YURO,spain
2018-06-13,52.5,52.5,52.5,51.0,25,EUR,YURO,spain
2018-07-03,48.2,48.2,48.2,46.0,10,EUR,YURO,spain
2018-07-17,48.2,48.2,48.2,46.0,82,EUR,YURO,spain
2018-10-16,47.4,47.4,47.4,46.0,22,EUR,YURO,spain
2018-10-23,48.2,48.2,48.2,46.0,20,EUR,YURO,spain
2018-11-30,48.2,48.2,48.2,46.0,80,EUR,YURO,spain
2018-12-03,48.2,48.2,48.2,46.0,21,EUR,YURO,spain
2018-12-04,48.2,48.2,48.2,46.0,41,EUR,YURO,spain
2018-12-12,45.4,45.4,45.4,44.0,111,EUR,YURO,spain
2018-12-13,44.0,44.0,44.0,44.0,114,EUR,YURO,spain
2018-12-14,43.6,43.6,43.6,44.0,53,EUR,YURO,spain
2019-01-14,43.6,43.6,43.6,44.0,115,EUR,YURO,spain
2019-01-15,43.6,43.6,43.6,44.0,180,EUR,YURO,spain
2019-01-18,44.4,44.4,44.4,44.0,113,EUR,YURO,spain
2019-01-21,44.4,44.4,44.4,44.0,37,EUR,YURO,spain
2019-01-29,44.4,44.4,44.4,44.0,57,EUR,YURO,spain
2019-03-06,44.4,44.4,44.4,44.0,65,EUR,YURO,spain
2019-04-02,43.6,43.6,43.6,44.0,50,EUR,YURO,spain
2019-04-08,44.4,44.8,44.4,44.8,226,EUR,YURO,spain
2019-04-09,44.8,44.8,44.8,44.8,139,EUR,YURO,spain
2019-04-12,45.2,45.2,45.2,44.8,111,EUR,YURO,spain
2019-04-24,44.6,44.6,44.6,44.8,95,EUR,YURO,spain
2019-04-26,44.4,44.4,44.4,44.8,95,EUR,YURO,spain
2019-05-02,44.4,44.4,44.4,44.8,45,EUR,YURO,spain
2019-05-06,44.4,44.4,44.4,44.8,45,EUR,YURO,spain
2019-05-07,45.2,45.2,45.2,44.8,44,EUR,YURO,spain
2019-05-08,45.2,45.2,45.2,44.8,44,EUR,YURO,spain
2019-05-13,45.2,46.2,45.2,44.8,159,EUR,YURO,spain
2019-05-14,46.0,46.0,45.2,44.8,104,EUR,YURO,spain
2019-07-16,44.6,44.6,44.6,44.2,98,EUR,YURO,spain
2019-10-11,44.2,44.2,44.2,44.2,114,EUR,YURO,spain
2019-10-18,43.6,43.6,43.6,44.2,152,EUR,YURO,spain
2019-10-30,43.2,43.2,42.8,42.8,913,EUR,YURO,spain
2020-01-09,42.4,42.4,42.0,42.0,424,EUR,YURO,spain
2020-01-15,41.6,41.6,41.6,42.0,75,EUR,YURO,spain
2020-02-28,41.6,41.6,41.6,41.6,242,EUR,YURO,spain
2020-03-04,41.2,41.2,41.2,41.6,80,EUR,YURO,spain
2020-03-12,41.2,41.2,41.2,41.6,114,EUR,YURO,spain
2020-04-23,41.0,41.0,41.0,41.6,122,EUR,YURO,spain
2020-04-24,41.0,41.0,41.0,41.0,228,EUR,YURO,spain
2020-09-17,40.0,40.0,40.0,37.6,64,EUR,YURO,spain
