Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2017-01-10,12.73,12.73,12.73,12.73,300,EUR,YVBA,spain
2017-01-31,12.61,12.61,12.61,12.61,388,EUR,YVBA,spain
2017-02-13,12.42,12.42,12.42,12.42,392,EUR,YVBA,spain
2017-03-01,12.13,12.13,12.13,12.13,400,EUR,YVBA,spain
2017-03-03,12.13,12.13,12.13,12.13,200,EUR,YVBA,spain
2017-03-06,12.27,12.27,12.16,12.16,1954,EUR,YVBA,spain
2017-03-07,12.04,12.04,11.74,11.74,818,EUR,YVBA,spain
2017-05-08,11.34,11.34,11.34,11.34,421,EUR,YVBA,spain
2017-05-18,10.78,10.78,10.78,10.78,25000,EUR,YVBA,spain
2017-05-24,10.88,10.88,10.88,10.88,450,EUR,YVBA,spain
2017-05-25,10.99,11.1,10.99,11.1,886,EUR,YVBA,spain
2017-05-26,10.91,10.91,10.91,10.91,435,EUR,YVBA,spain
2017-05-29,10.96,11.05,10.96,11.05,3600,EUR,YVBA,spain
2017-05-30,11.15,11.15,11.15,11.15,2012,EUR,YVBA,spain
2017-06-09,11.25,11.37,11.25,11.37,841,EUR,YVBA,spain
2017-06-12,11.15,11.26,11.15,11.26,2543,EUR,YVBA,spain
2017-06-13,11.37,11.37,11.37,11.37,418,EUR,YVBA,spain
2017-06-14,11.48,11.59,11.48,11.59,825,EUR,YVBA,spain
2017-06-20,11.71,11.82,11.71,11.82,808,EUR,YVBA,spain
2017-06-21,11.94,12.06,11.94,12.06,792,EUR,YVBA,spain
2017-06-22,12.2,12.31,12.2,12.31,776,EUR,YVBA,spain
2017-08-14,12.28,12.28,12.28,12.28,9256,EUR,YVBA,spain
2017-08-15,12.28,12.28,12.28,12.28,804,EUR,YVBA,spain
2017-09-19,12.28,12.28,12.28,12.28,332404,EUR,YVBA,spain
2017-11-20,12.75,12.75,12.75,12.75,383,EUR,YVBA,spain
2017-12-18,12.88,12.88,12.88,12.88,35415,EUR,YVBA,spain
2018-02-13,12.8,12.8,12.8,12.8,376,EUR,YVBA,spain
2018-02-15,12.7,12.7,12.7,12.7,378,EUR,YVBA,spain
2018-02-16,12.61,12.61,12.61,12.61,211,EUR,YVBA,spain
2018-03-14,12.7,12.7,12.7,12.7,378,EUR,YVBA,spain
2018-03-15,12.8,12.8,12.8,12.8,376,EUR,YVBA,spain
2018-03-16,13.04,13.04,13.04,13.04,1006,EUR,YVBA,spain
2018-03-20,13.04,13.04,13.04,13.04,150,EUR,YVBA,spain
2018-04-05,12.95,12.95,12.95,12.95,201,EUR,YVBA,spain
2018-07-16,12.88,12.88,12.88,12.88,377,EUR,YVBA,spain
2018-07-19,12.88,12.88,12.88,12.88,104171,EUR,YVBA,spain
2018-07-23,12.88,12.88,12.88,12.88,33957,EUR,YVBA,spain
2018-07-27,12.98,12.98,12.98,12.98,301,EUR,YVBA,spain
2018-10-04,13.16,13.16,13.16,13.16,376,EUR,YVBA,spain
2019-03-05,13.16,13.16,13.16,13.16,9534,EUR,YVBA,spain
2019-03-08,13.16,13.16,13.16,13.16,10036,EUR,YVBA,spain
2019-03-14,13.35,13.35,13.35,13.35,10411,EUR,YVBA,spain
2019-05-30,13.35,13.35,13.35,13.35,4215,EUR,YVBA,spain
2019-06-20,13.45,13.45,13.45,13.45,501,EUR,YVBA,spain
