Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2016-07-11,12.88,12.88,12.88,12.88,400,EUR,YVIT,spain
2016-07-14,13.01,13.01,13.01,13.01,400,EUR,YVIT,spain
2016-07-19,13.15,13.15,13.15,13.15,390,EUR,YVIT,spain
2016-07-20,13.29,13.29,13.29,13.29,247,EUR,YVIT,spain
2017-03-31,13.04,13.04,13.04,13.04,384,EUR,YVIT,spain
2017-04-03,13.17,13.17,13.17,13.17,380,EUR,YVIT,spain
2017-04-05,12.94,12.94,12.94,12.94,384,EUR,YVIT,spain
2017-04-19,13.07,13.07,13.07,13.07,300,EUR,YVIT,spain
2017-05-08,12.88,12.88,12.88,12.88,232,EUR,YVIT,spain
2017-05-11,13.01,13.01,13.01,13.01,300,EUR,YVIT,spain
2017-05-12,13.14,13.14,13.14,13.14,250,EUR,YVIT,spain
2017-05-29,13.27,13.27,13.27,13.27,377,EUR,YVIT,spain
2017-08-23,13.25,13.25,13.25,13.25,6000,EUR,YVIT,spain
2017-08-25,13.25,13.25,13.25,13.25,4400,EUR,YVIT,spain
2017-09-01,13.25,13.25,13.25,13.25,1000,EUR,YVIT,spain
2017-09-13,13.54,13.54,13.54,13.54,3200,EUR,YVIT,spain
2017-09-22,13.54,13.54,13.54,13.54,374,EUR,YVIT,spain
2017-10-09,13.54,13.54,13.54,13.54,20465,EUR,YVIT,spain
2017-10-11,13.54,13.54,13.54,13.54,1000,EUR,YVIT,spain
2017-10-16,13.54,13.54,13.45,13.45,12500,EUR,YVIT,spain
2017-10-20,13.54,13.54,13.54,13.54,740,EUR,YVIT,spain
2017-10-25,13.59,13.59,13.45,13.45,545,EUR,YVIT,spain
2017-10-26,13.45,13.45,13.45,13.45,596,EUR,YVIT,spain
2017-10-27,13.45,13.45,13.45,13.45,8328,EUR,YVIT,spain
2017-10-30,13.5,13.5,13.5,13.5,8328,EUR,YVIT,spain
2017-10-31,13.47,13.47,13.47,13.47,300,EUR,YVIT,spain
2017-11-03,13.6,13.6,13.6,13.6,9827,EUR,YVIT,spain
2017-11-07,13.6,13.6,13.6,13.6,10000,EUR,YVIT,spain
2017-11-15,13.65,13.65,13.65,13.65,5005,EUR,YVIT,spain
2017-11-22,13.79,13.79,13.79,13.79,223,EUR,YVIT,spain
2017-11-30,13.92,13.92,13.92,13.92,360,EUR,YVIT,spain
2017-12-04,13.9,13.9,13.9,13.9,600,EUR,YVIT,spain
2018-01-10,14.0,14.0,14.0,13.9,2,EUR,YVIT,spain
2018-01-23,13.8,13.8,13.8,13.8,363,EUR,YVIT,spain
2018-01-24,13.7,13.7,13.7,13.7,365,EUR,YVIT,spain
