Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-10,11.01,11.01,10.83,10.89,227928,EUR,ZOT,spain
2010-11-11,10.86,10.96,10.69,10.69,177703,EUR,ZOT,spain
2010-11-12,10.62,10.78,10.13,10.46,299846,EUR,ZOT,spain
2010-11-15,10.43,11.05,10.4,11.01,291424,EUR,ZOT,spain
2010-11-16,10.88,10.98,10.53,10.56,264987,EUR,ZOT,spain
2010-11-17,10.56,10.76,10.51,10.73,133939,EUR,ZOT,spain
2010-11-18,10.77,10.83,10.56,10.73,156853,EUR,ZOT,spain
2010-11-19,10.63,10.68,10.52,10.68,160896,EUR,ZOT,spain
2010-11-22,10.77,10.81,10.43,10.46,145055,EUR,ZOT,spain
2010-11-23,10.43,10.48,10.22,10.28,180451,EUR,ZOT,spain
2010-11-24,10.18,10.65,10.18,10.59,201798,EUR,ZOT,spain
2010-11-25,10.68,10.68,10.38,10.46,77465,EUR,ZOT,spain
2010-11-26,10.4,10.53,10.25,10.43,209038,EUR,ZOT,spain
2010-11-29,10.36,10.43,10.04,10.04,225232,EUR,ZOT,spain
2010-11-30,10.02,10.12,9.88,9.88,337513,EUR,ZOT,spain
2010-12-01,10.03,10.73,9.9,10.68,515809,EUR,ZOT,spain
2010-12-02,10.68,10.83,10.2,10.42,426931,EUR,ZOT,spain
2010-12-03,10.48,10.51,10.3,10.4,222416,EUR,ZOT,spain
2010-12-06,10.38,10.48,10.33,10.33,300032,EUR,ZOT,spain
2010-12-07,10.46,10.49,10.32,10.44,176013,EUR,ZOT,spain
2010-12-08,10.42,10.44,10.34,10.39,211176,EUR,ZOT,spain
2010-12-09,10.63,10.63,10.34,10.34,249744,EUR,ZOT,spain
2010-12-10,10.3,10.33,10.17,10.21,150357,EUR,ZOT,spain
2010-12-13,10.18,10.36,10.16,10.17,146887,EUR,ZOT,spain
2010-12-14,10.17,10.17,10.04,10.16,214603,EUR,ZOT,spain
2010-12-15,10.06,10.14,10.04,10.04,176506,EUR,ZOT,spain
2010-12-16,10.16,10.16,10.02,10.15,230881,EUR,ZOT,spain
2010-12-17,10.06,10.16,9.99,9.99,343382,EUR,ZOT,spain
2010-12-20,10.04,10.1,9.99,10.1,215170,EUR,ZOT,spain
2010-12-21,10.02,10.18,9.99,10.18,212521,EUR,ZOT,spain
2010-12-22,10.04,10.16,9.98,10.07,151569,EUR,ZOT,spain
2010-12-23,10.08,10.08,9.75,10.03,173056,EUR,ZOT,spain
2010-12-27,9.98,9.98,9.77,9.89,129418,EUR,ZOT,spain
2010-12-28,9.95,9.98,9.81,9.86,90628,EUR,ZOT,spain
2010-12-29,9.84,9.9,9.67,9.67,209320,EUR,ZOT,spain
2010-12-30,9.74,9.74,9.54,9.56,381599,EUR,ZOT,spain
2011-01-03,9.69,9.71,9.53,9.68,335450,EUR,ZOT,spain
2011-01-04,9.54,10.05,9.54,9.97,597353,EUR,ZOT,spain
2011-01-05,10.0,10.2,9.82,10.07,348222,EUR,ZOT,spain
2011-01-06,10.04,10.16,10.0,10.04,240550,EUR,ZOT,spain
2011-01-07,10.04,10.08,9.84,9.85,266684,EUR,ZOT,spain
2011-01-10,9.7,9.83,9.52,9.73,185222,EUR,ZOT,spain
2011-01-11,9.84,10.05,9.75,10.05,266788,EUR,ZOT,spain
2011-01-12,10.03,10.24,9.96,10.1,463256,EUR,ZOT,spain
2011-01-13,10.0,10.09,9.98,10.02,263214,EUR,ZOT,spain
2011-01-14,10.08,10.16,10.03,10.03,157060,EUR,ZOT,spain
2011-01-17,10.02,10.11,10.02,10.06,116781,EUR,ZOT,spain
2011-01-18,10.07,10.31,10.02,10.3,329277,EUR,ZOT,spain
2011-01-19,10.36,10.36,9.96,10.0,500567,EUR,ZOT,spain
2011-01-20,9.96,10.08,9.87,9.88,591194,EUR,ZOT,spain
2011-01-21,9.9,10.26,9.9,10.18,519144,EUR,ZOT,spain
2011-01-24,10.33,10.34,10.09,10.15,293329,EUR,ZOT,spain
2011-01-25,10.34,10.37,10.21,10.31,380539,EUR,ZOT,spain
2011-01-26,10.29,10.61,10.29,10.5,368883,EUR,ZOT,spain
2011-01-27,10.47,10.71,10.41,10.57,398695,EUR,ZOT,spain
2011-01-28,10.54,10.64,10.33,10.44,337600,EUR,ZOT,spain
2011-01-31,10.3,10.57,10.25,10.49,403672,EUR,ZOT,spain
2011-02-01,10.57,10.63,10.45,10.57,212031,EUR,ZOT,spain
2011-02-02,10.64,10.74,10.45,10.47,206862,EUR,ZOT,spain
2011-02-03,10.46,10.6,10.43,10.46,228108,EUR,ZOT,spain
2011-02-04,10.46,10.59,10.46,10.52,166066,EUR,ZOT,spain
2011-02-07,10.49,10.59,10.34,10.52,257736,EUR,ZOT,spain
2011-02-08,10.57,10.57,10.38,10.39,330399,EUR,ZOT,spain
2011-02-09,10.39,10.41,10.35,10.36,205947,EUR,ZOT,spain
2011-02-10,10.34,10.4,10.25,10.25,238704,EUR,ZOT,spain
2011-02-11,10.29,10.35,10.21,10.22,187897,EUR,ZOT,spain
2011-02-14,10.31,10.31,10.24,10.29,158725,EUR,ZOT,spain
2011-02-15,10.23,10.34,10.23,10.34,143433,EUR,ZOT,spain
2011-02-16,10.29,10.46,10.29,10.45,147960,EUR,ZOT,spain
2011-02-17,10.43,10.54,10.43,10.48,241076,EUR,ZOT,spain
2011-02-18,10.5,10.5,10.37,10.42,260656,EUR,ZOT,spain
2011-02-21,10.34,10.42,10.2,10.2,315151,EUR,ZOT,spain
2011-02-22,10.17,10.25,10.1,10.15,266700,EUR,ZOT,spain
2011-02-23,10.09,10.11,9.98,9.98,390273,EUR,ZOT,spain
2011-02-24,9.96,10.1,9.93,10.04,228080,EUR,ZOT,spain
2011-02-25,10.19,10.29,10.09,10.22,232545,EUR,ZOT,spain
2011-02-28,10.25,10.33,10.17,10.25,241713,EUR,ZOT,spain
2011-03-01,10.22,10.34,10.11,10.32,745596,EUR,ZOT,spain
2011-03-02,10.25,10.42,10.18,10.38,190906,EUR,ZOT,spain
2011-03-03,10.38,10.52,10.35,10.4,187343,EUR,ZOT,spain
2011-03-04,10.48,10.52,10.4,10.45,187772,EUR,ZOT,spain
