,country,name,full_name,isin,currency,symbol
0,spain,ACS,ACS Actividades de Construccion y Servicios SA,ES0167050915,EUR,ACS
1,spain,Abengoa,Abengoa,ES0105200416,EUR,ABG
2,spain,Atresmedia,Atresmedia,ES0109427734,EUR,A3M
3,spain,Acerinox,Acerinox,ES0132105018,EUR,ACX
4,spain,BBVA,BBVA,ES0113211835,EUR,BBVA
5,spain,Bankinter,Bankinter,ES0113679I37,EUR,BKT
6,spain,BME,Bolsas y Mercados Espanoles,ES0115056139,EUR,BME
7,spain,Acciona,Acciona,ES0125220311,EUR,ANA
8,spain,Caixabank,Caixabank SA,ES0140609019,EUR,CABK
9,spain,Enagas,Enagas,ES0130960018,EUR,ENAG
10,spain,FCC,FCC,ES0122060314,EUR,FCC
11,spain,Naturgy Energy,Naturgy Energy Group SA,ES0116870314,EUR,NTGY
12,spain,Gamesa,Siemens Gamesa Renewable Energy SA,ES0143416115,EUR,SGREN
13,spain,Grifols,Grifols SA,ES0171996087,EUR,GRLS
14,spain,Ferrovial,Ferrovial,ES0118900010,EUR,FER
15,spain,Red Electrica,Red Electrica Corporacion SA,ES0173093024,EUR,REE
16,spain,Inditex,Inditex,ES0148396007,EUR,ITX
17,spain,Repsol,Repsol,ES0173516115,EUR,REP
18,spain,Iberdrola,Iberdrola,ES0144580Y14,EUR,IBE
19,spain,Indra A,Indra A,ES0118594417,EUR,IDR
20,spain,Mapfre,Mapfre,ES0124244E34,EUR,MAP
21,spain,Telefonica,Telefonica,ES0178430E18,EUR,TEF
22,spain,Mediaset,Mediaset ESP,ES0152503035,EUR,TL5
23,spain,Sacyr,Sacyr SA,ES0182870214,EUR,SCYR
24,spain,B. Sabadell,B. Sabadell,ES0113860A34,EUR,SABE
25,spain,Santander,Banco Santander,ES0113900J37,EUR,SAN
26,spain,Inmobiliaria Colonial,Inmobiliaria Colonial SA,ES0139140174,EUR,COL
27,spain,Tecnicas Reunidas,Tecnicas Reunidas,ES0178165017,EUR,TRE
28,spain,OHL,Obrascon Huarte Lain SA,ES0142090317,EUR,OHL
29,spain,IAG,International Consolidated Airlines Group SA,ES0177542018,EUR,ICAG
30,spain,Ebro Foods,Ebro Foods,ES0112501012,EUR,EBRO
31,spain,Endesa,Endesa SA,ES0130670112,EUR,ELE
32,spain,Amadeus,Amadeus IT,ES0109067019,EUR,AMA
33,spain,Bankia,Bankia SA,ES0113307062,EUR,BKIA
34,spain,DIA,Distribuidora Internacional de Alimentacion SA,ES0126775032,EUR,DIDA
35,spain,Vertice 360 Grados,Vertice Trescientos Sesenta Grados,ES0183304312,EUR,VTSG
36,spain,Laborat.Rovi,Laboratorios Farmaceuticos ROVI,ES0157261019,EUR,ROVI
37,spain,General Alquiler Maquinaria,General de Alquiler de Maquinaria SA,ES0141571192,EUR,GALQ
38,spain,Solaria,Solaria,ES0165386014,EUR,SLRS
39,spain,Airtificial Intelligence,Airtificial Intelligence Structures SA,ES0152768612,EUR,AI
40,spain,Alantra Partners,Alantra Partners SA,ES0126501131,EUR,ALNTA
41,spain,Alba SA,Corporacion Financiera Alba SA,ES0117160111,EUR,ALB
42,spain,Promotora Informaciones,Promotora de Informaciones SA,ES0171743901,EUR,PRS
43,spain,Melia Hotels,Melia Hotels,ES0176252718,EUR,MEL
44,spain,Empresarial San Jose,Grupo Empresarial San Jose SA,ES0180918015,EUR,GSJ
