Time Series,INDIA - INDIAN RUPEE/US$
03-01-2000,43.55
04-01-2000,43.55
05-01-2000,43.55
06-01-2000,43.55
07-01-2000,43.55
10-01-2000,43.55
11-01-2000,43.6
12-01-2000,43.6
13-01-2000,43.55
14-01-2000,43.55
17-01-2000,ND
18-01-2000,43.6
19-01-2000,43.6
20-01-2000,43.6
21-01-2000,43.6
24-01-2000,43.62
25-01-2000,43.59
26-01-2000,43.65
27-01-2000,43.63
28-01-2000,43.65
31-01-2000,43.65
01-02-2000,43.62
02-02-2000,43.65
03-02-2000,43.65
04-02-2000,43.65
07-02-2000,43.64
08-02-2000,43.63
09-02-2000,43.65
10-02-2000,43.58
11-02-2000,43.65
14-02-2000,43.65
15-02-2000,43.64
16-02-2000,43.75
17-02-2000,43.68
18-02-2000,43.68
21-02-2000,ND
22-02-2000,43.65
23-02-2000,43.68
24-02-2000,43.65
25-02-2000,43.65
28-02-2000,43.68
29-02-2000,43.65
01-03-2000,43.63
02-03-2000,43.65
03-03-2000,43.65
06-03-2000,43.63
07-03-2000,43.63
08-03-2000,43.65
09-03-2000,43.63
10-03-2000,43.65
13-03-2000,43.65
14-03-2000,43.64
15-03-2000,43.65
16-03-2000,43.58
17-03-2000,43.65
20-03-2000,43.63
21-03-2000,43.59
22-03-2000,43.65
23-03-2000,43.65
24-03-2000,43.65
27-03-2000,43.62
28-03-2000,43.65
29-03-2000,43.65
30-03-2000,43.65
31-03-2000,43.65
03-04-2000,43.632
04-04-2000,43.65
05-04-2000,43.68
06-04-2000,43.65
07-04-2000,43.67
10-04-2000,43.66
11-04-2000,43.68
12-04-2000,43.7
13-04-2000,43.7
14-04-2000,43.75
17-04-2000,43.68
18-04-2000,43.7
19-04-2000,43.7
20-04-2000,43.687
21-04-2000,43.7
24-04-2000,43.655
25-04-2000,43.7
26-04-2000,43.7
27-04-2000,43.7
28-04-2000,43.7
01-05-2000,43.67
02-05-2000,43.75
03-05-2000,43.73
04-05-2000,43.67
05-05-2000,43.7
08-05-2000,43.7
09-05-2000,43.7
10-05-2000,44.3
11-05-2000,44.44
12-05-2000,44.15
15-05-2000,44.44
16-05-2000,44.05
17-05-2000,44.02
18-05-2000,44.03
19-05-2000,44
22-05-2000,44.02
23-05-2000,44.15
24-05-2000,44.25
25-05-2000,44.2
26-05-2000,44.4
29-05-2000,ND
30-05-2000,44.65
31-05-2000,44.65
01-06-2000,44.65
02-06-2000,44.7
05-06-2000,44.75
06-06-2000,44.75
07-06-2000,44.83
08-06-2000,44.85
09-06-2000,44.85
12-06-2000,44.85
13-06-2000,44.8
14-06-2000,44.72
15-06-2000,44.8
16-06-2000,44.83
19-06-2000,44.85
20-06-2000,44.75
21-06-2000,44.7
22-06-2000,44.7
23-06-2000,44.75
26-06-2000,44.75
27-06-2000,44.7
28-06-2000,44.72
29-06-2000,44.73
30-06-2000,44.7
03-07-2000,44.72
04-07-2000,ND
05-07-2000,44.69
06-07-2000,44.81
07-07-2000,44.78
10-07-2000,44.75
11-07-2000,44.75
12-07-2000,44.75
13-07-2000,44.78
14-07-2000,44.78
17-07-2000,44.74
18-07-2000,44.83
19-07-2000,44.85
20-07-2000,45.02
21-07-2000,44.8
24-07-2000,44.77
25-07-2000,44.95
26-07-2000,44.98
27-07-2000,44.95
28-07-2000,44.96
31-07-2000,45.15
01-08-2000,45.15
02-08-2000,45.4
03-08-2000,45.4
04-08-2000,45.4
07-08-2000,45.62
08-08-2000,45.8
09-08-2000,45.7
10-08-2000,45.9
11-08-2000,45.9
14-08-2000,45.85
15-08-2000,45.8
16-08-2000,45.8
17-08-2000,45.95
18-08-2000,45.9
21-08-2000,45.73
22-08-2000,45.75
23-08-2000,45.9
24-08-2000,46.05
25-08-2000,46.05
28-08-2000,45.83
29-08-2000,46
30-08-2000,45.9
31-08-2000,45.9
01-09-2000,45.8
04-09-2000,ND
05-09-2000,45.74
06-09-2000,45.65
07-09-2000,46.05
08-09-2000,45.73
11-09-2000,45.65
12-09-2000,45.7
13-09-2000,45.7
14-09-2000,45.8
15-09-2000,45.85
18-09-2000,46.15
19-09-2000,46.45
20-09-2000,46.3
21-09-2000,46.09
22-09-2000,46.18
25-09-2000,46.16
26-09-2000,46.1
27-09-2000,46.15
28-09-2000,46.05
29-09-2000,46.06
02-10-2000,46.1
03-10-2000,46.18
04-10-2000,46.17
05-10-2000,46.17
06-10-2000,46.17
09-10-2000,ND
10-10-2000,46.25
11-10-2000,46.35
12-10-2000,46.3
13-10-2000,46.45
16-10-2000,46.4
17-10-2000,46.35
18-10-2000,46.45
19-10-2000,46.4
20-10-2000,46.4
23-10-2000,46.45
24-10-2000,46.48
25-10-2000,46.7
26-10-2000,46.7
27-10-2000,46.78
30-10-2000,46.78
31-10-2000,46.9
01-11-2000,46.82
02-11-2000,46.85
03-11-2000,46.7
06-11-2000,46.64
07-11-2000,46.7
08-11-2000,46.72
09-11-2000,46.75
10-11-2000,46.78
13-11-2000,46.77
14-11-2000,46.85
15-11-2000,46.83
16-11-2000,46.85
17-11-2000,46.82
20-11-2000,46.9
21-11-2000,46.85
22-11-2000,46.86
23-11-2000,ND
24-11-2000,46.91
27-11-2000,46.9
28-11-2000,46.93
29-11-2000,46.95
30-11-2000,46.87
01-12-2000,46.89
04-12-2000,46.88
05-12-2000,46.8
06-12-2000,46.78
07-12-2000,46.8
08-12-2000,46.8
11-12-2000,46.78
12-12-2000,46.78
13-12-2000,46.8
14-12-2000,46.8
15-12-2000,46.8
18-12-2000,46.79
19-12-2000,46.75
20-12-2000,46.75
21-12-2000,46.74
22-12-2000,46.77
25-12-2000,ND
26-12-2000,46.75
27-12-2000,46.73
28-12-2000,46.75
29-12-2000,46.75
01-01-2001,ND
02-01-2001,46.74
03-01-2001,46.75
04-01-2001,46.78
05-01-2001,46.76
08-01-2001,46.73
09-01-2001,46.68
10-01-2001,46.68
11-01-2001,46.68
12-01-2001,47.47
15-01-2001,ND
16-01-2001,46.55
17-01-2001,46.48
18-01-2001,46.45
19-01-2001,46.43
22-01-2001,46.43
23-01-2001,46.39
24-01-2001,46.42
25-01-2001,46.54
26-01-2001,46.53
29-01-2001,46.5
30-01-2001,46.46
31-01-2001,46.44
01-02-2001,46.41
02-02-2001,46.44
05-02-2001,46.43
06-02-2001,46.42
07-02-2001,46.46
08-02-2001,46.46
09-02-2001,46.54
12-02-2001,46.56
13-02-2001,46.6
14-02-2001,46.65
15-02-2001,46.63
16-02-2001,46.55
19-02-2001,ND
20-02-2001,46.66
21-02-2001,46.65
22-02-2001,46.63
23-02-2001,46.65
26-02-2001,46.66
27-02-2001,46.68
28-02-2001,46.59
01-03-2001,46.59
02-03-2001,46.59
05-03-2001,46.57
06-03-2001,46.53
07-03-2001,46.57
08-03-2001,46.56
09-03-2001,46.55
12-03-2001,46.57
13-03-2001,46.7
14-03-2001,46.69
15-03-2001,46.66
16-03-2001,46.69
19-03-2001,46.72
20-03-2001,46.71
21-03-2001,46.71
22-03-2001,46.74
23-03-2001,46.72
26-03-2001,46.69
27-03-2001,46.65
28-03-2001,46.65
29-03-2001,46.66
30-03-2001,46.85
02-04-2001,46.65
